SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0.0013704916927963495,0.0012937935534864664,0.0015301534440368414,0.0013704916927963495,0.0014027563156560063,0.0013830885291099548,0.0013704916927963495,0.0014027563156560063,0.0012213824084028602,0.0015301534440368414,0.0013636966468766332,0.0012199460761621594,0.0012199460761621594,0.0015301534440368414,0.0013056863099336624,0.0011644597398117185,0.0012937935534864664,0.0014027563156560063,0.0013830885291099548,0.0013830885291099548,0.0013830885291099548,0.001324254903011024,0.0010609354358166456,0.0010609354358166456	127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594	29841.json
9,9,9,9,9,9	1,1,1,1,1,1	0,0,0,0,0,0	0.739579439163208,0.739579439163208,0.739579439163208,0.6700499653816223,0.6700499653816223,0.6700499653816223	106.99690246582031,106.99690246582031,106.99690246582031,107.10638427734375,107.10638427734375,107.10638427734375	15395.json
7,7,7	2,2,2	2,2,2	0.7907657623291016,0.7907657623291016,0.7907657623291016	115.62542724609375,115.62542724609375,115.62542724609375	11288.json
3	1	0	0.6824762225151062	132.43687438964844	35427.json
5,5,6,6	2,2,2,2	3,3,3,3	0.7170822620391846,0.7170822620391846,0.11372562497854233,0.11372562497854233	117.06050872802734,117.06050872802734,113.02019500732422,113.02019500732422	15179.json
3	1	0	0.5193129181861877	130.85629272460938	22004.json
3,3,3,3	1,1,1,1	0,0,0,0	2.1013191144447774E-4,7.723268354311585E-4,7.723268354311585E-4,7.723268354311585E-4	127.33940887451172,127.02415466308594,127.02415466308594,127.02415466308594	29851.json
3,3,3	1,1,1	0,0,0	0.7979317307472229,0.7979317307472229,0.7979317307472229	133.59722900390625,133.59722900390625,133.59722900390625	19510.json
3,3	2,2	2,2	0.09326156228780746,0.09326156228780746	131.3706817626953,131.3706817626953	4622.json
3,3,3	1,1,1	0,0,0	0.44527101516723633,0.44527101516723633,0.44527101516723633	130.18594360351562,130.18594360351562,130.18594360351562	14544.json
6,6,6	2,2,2	2,2,2	0.15690311789512634,0.1387878805398941,0.1387878805398941	115.63639831542969,115.48116302490234,115.48116302490234	30623.json
6,6,6,6,6,6	2,2,2,2,2,2	2,2,2,2,2,2	0.5361405611038208,0.5361405611038208,0.5153825283050537,0.5153825283050537,0.5361405611038208,0.5153825283050537	115.63639831542969,115.63639831542969,115.48116302490234,115.48116302490234,115.63639831542969,115.48116302490234	19907.json
3,3,3	1,1,1	0,0,0	0.04513581469655037,0.04513581469655037,0.04513581469655037	132.43687438964844,132.43687438964844,132.43687438964844	18806.json
7,7,7	2,2,2	2,2,2	0.9238446950912476,0.9238446950912476,0.9238446950912476	115.62542724609375,115.62542724609375,115.62542724609375	10179.json
13,13,13	4,4,4	5,5,5	0.02208685502409935,0.02208685502409935,0.02208685502409935	96.91558074951172,96.91558074951172,96.91558074951172	1977.json
9,9	2,2	3,3	0.16257837414741516,0.16257837414741516	107.2193603515625,107.2193603515625	5057.json
3,3,3,3	1,1,1,1	0,0,0,0	0.5193129181861877,0.537638783454895,0.537638783454895,0.537638783454895	130.85629272460938,130.85629272460938,130.85629272460938,130.85629272460938	33713.json
8,8,8	3,3,3	3,3,3	0.25546592473983765,0.25546592473983765,0.25546592473983765	108.9604263305664,108.9604263305664,108.9604263305664	16643.json
7,7,7	2,2,2	2,2,2	0.8307210206985474,0.8307210206985474,0.8307210206985474	115.62542724609375,115.62542724609375,115.62542724609375	14016.json
8,8,8,8	3,3,3,3	3,3,3,3	0.3197214603424072,0.3373512923717499,0.3373512923717499,0.3373512923717499	108.9604263305664,108.9604263305664,108.9604263305664,108.9604263305664	27628.json
3,3	1,1	0,0	0.5193129181861877,0.5193129181861877	130.85629272460938,130.85629272460938	11326.json
7,7,7	2,2,2	2,2,2	0.022629953920841217,0.022629953920841217,0.022629953920841217	108.85557556152344,108.85557556152344,108.85557556152344	7850.json
9,9,9	2,2,2	4,4,4	0.05746282637119293,0.05746282637119293,0.05746282637119293	104.736328125,104.736328125,104.736328125	7514.json
