SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
9,8,7,10,10,10,15,16,16	1,1,1,2,2,2,3,3,3	0,0,0,2,2,2,2,2,2	0.43020662665367126,0.48424604535102844,0.5968577265739441,0.33114227652549744,0.33114227652549744,0.3364236056804657,0.1835239976644516,0.09379620105028152,0.09506554901599884	107.21821594238281,110.39348602294922,113.21392822265625,104.472412109375,104.472412109375,104.32127380371094,95.92041015625,94.36065673828125,94.29177856445312	921.json
3	1	0	0.32281190156936646	130.30841064453125	1000.json
15,15,15,15	4,4,4,4	7,7,7,7	0.6459352970123291,0.6459352970123291,0.6459352970123291,0.6419087648391724	95.28337097167969,95.28337097167969,95.28337097167969,95.41844177246094	329.json
9,9,9,9,10,9,9,3,3,3	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0.1574154943227768,0.15027862787246704,0.15844278037548065,0.280555784702301,0.23432303965091705,0.23676316440105438,0.23676316440105438,0.14103515446186066,0.1463252753019333,0.17275381088256836	106.40824890136719,106.40824890136719,106.66616821289062,107.2155532836914,105.01141357421875,106.98943328857422,106.98943328857422,128.0337677001953,127.59099578857422,127.59099578857422	1132.json
13,13	3,3	2,2	0.6444433927536011,0.6486184597015381	100.7091064453125,100.5355224609375	360.json
5,4,3,3,3	1,1,1,1,1	0,0,0,0,0	0.043739479035139084,0.01359151303768158,0.0014561787247657776,0.0014561787247657776,0.0010139432270079851	119.57592010498047,123.19084167480469,127.8512954711914,127.8512954711914,127.25540161132812	865.json
5,5,5,5	1,1,1,1	0,0,0,0	0.20238633453845978,0.18748319149017334,0.17724958062171936,0.19153094291687012	119.41305541992188,119.86349487304688,119.86349487304688,119.41305541992188	129.json
3,3,3	1,1,1	0,0,0	0.9966152906417847,0.9966152906417847,0.9968097805976868	132.4454345703125,132.4454345703125,131.9385528564453	905.json
3	2	2	0.09174417704343796	128.37530517578125	335.json
3,3,3,3	1,1,1,1	0,0,0,0	0.028276758268475533,0.028276758268475533,0.028276758268475533,0.030535247176885605	128.92515563964844,128.92515563964844,128.92515563964844,128.62307739257812	444.json
3,3,3,3	1,1,1,1	0,0,0,0	0.4781651198863983,0.4781651198863983,0.5403241515159607,0.5599145889282227	130.30841064453125,130.30841064453125,130.30841064453125,129.93223571777344	588.json
3,3	1,1	0,0	0.6464879512786865,0.6464879512786865	131.9385528564453,131.9385528564453	17.json
5,5,5,5,5	1,1,1,1,1	0,0,0,0,0	0.5697525143623352,0.5697525143623352,0.5637614727020264,0.4998105466365814,0.4998105466365814	121.69422912597656,121.69422912597656,121.69422912597656,121.69422912597656,121.69422912597656	245.json
10,10,10,10,10	3,3,3,3,3	4,4,4,4,4	0.022693881765007973,0.06082571670413017,0.05872724950313568,0.05872724950313568,0.06241185963153839	102.7200927734375,102.7200927734375,102.84205627441406,102.84205627441406,102.56485748291016	145.json
3,3	1,1	0,0	0.9066479802131653,0.9066479802131653	132.4454345703125,132.4454345703125	338.json
5,5,3,3	2,2,1,1	2,2,0,0	0.44837525486946106,0.44837525486946106,0.012726039625704288,0.014876838773488998	118.43690490722656,118.43690490722656,127.94976043701172,127.51214599609375	735.json
3	1	0	0.8051617741584778	130.7338104248047	844.json
8,8	1,1	0,0	0.619042694568634,0.6057608127593994	110.1827621459961,109.85306549072266	710.json
8,8,3	3,3,1	2,2,0	0.825911819934845,0.8333703875541687,0.8595278859138489	111.15506744384766,110.7459487915039,130.70933532714844	638.json
3,3,3,3	1,1,1,1	0,0,0,0	0.8649471998214722,0.9074370265007019,0.9074370265007019,0.909227192401886	132.4454345703125,131.9385528564453,131.9385528564453,131.46876525878906	869.json
5,5,5	1,1,1	0,0,0	0.4576762318611145,0.23947738111019135,0.23947738111019135	121.6568603515625,121.6568603515625,121.6568603515625	843.json
33,34,34	9,9,9	20,21,21	0.0014530670596286654,3.172209544572979E-4,4.07982588512823E-4	75.65837860107422,74.79962921142578,74.87303924560547	1024.json
10	2	0	0.5371256470680237	105.57550048828125	893.json
3,3,3,3,6	1,1,1,1,1	0,0,0,0,0	0.3155587911605835,0.49207377433776855,0.49744829535484314,0.41896453499794006,0.07256972789764404	129.57785034179688,127.94976043701172,127.68843078613281,128.92515563964844,113.81077575683594	413.json
4,4,3,3,3	2,2,1,1,1	2,2,0,0,0	0.33826902508735657,0.33826902508735657,0.006870463024824858,0.0026294172275811434,0.003079131245613098	121.34003448486328,121.34003448486328,128.31268310546875,127.59099578857422,127.17654418945312	1155.json
3,3	1,1	0,0	0.9394420385360718,0.9518157243728638	130.07347106933594,129.7158966064453	420.json
3,3,3	1,1,1	0,0,0	0.021959401667118073,0.021959401667118073,0.021959401667118073	127.68843078613281,127.68843078613281,127.68843078613281	962.json
31,31,31,35,35,35,35,38,43,43,27,27,28,28,20	5,5,5,5,5,5,5,6,7,7,9,9,9,9,6	13,13,13,13,13,13,13,15,18,18,21,21,21,21,15	0.001361279864795506,0.001361279864795506,0.0013607169967144728,0.0010240580886602402,0.0010633987840265036,0.0011959751136600971,0.0011496117804199457,2.145491016563028E-4,0.0,0.0,0.0,0.0,3.6024893051944673E-4,3.726768190972507E-4,4.2826173012144864E-4	78.50892639160156,78.50892639160156,78.50892639160156,76.22058868408203,76.19146728515625,76.19146728515625,76.4211654663086,74.27255249023438,71.15013122558594,71.17513275146484,79.3654556274414,79.3654556274414,78.6688003540039,78.53218841552734,85.9699935913086	1077.json
12,12,12,12,12,12,12	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0.46418502926826477,0.473996639251709,0.47015610337257385,0.5981227159500122,0.5868560075759888,0.5868560075759888,0.5810282230377197	99.18408966064453,99.24420928955078,99.5517578125,99.67854309082031,99.80854797363281,99.80854797363281,99.42645263671875	125.json
13,3,3,3,3,3	4,1,1,1,1,1	6,0,0,0,0,0	0.1658707857131958,0.006813242100179195,0.002573964651674032,0.002573964651674032,0.0030142231844365597,0.0030142231844365597	99.58548736572266,128.8216552734375,128.1235809326172,128.1235809326172,127.67500305175781,127.67500305175781	180.json
4,4,4	1,1,1	0,0,0	3.857462725136429E-4,3.857462725136429E-4,3.877274284604937E-4	120.8353271484375,120.8353271484375,120.41825866699219	1055.json
3	1	0	0.8417015075683594	131.60296630859375	977.json
18	5	4	0.2009948492050171	90.45890045166016	949.json
24,22,22,22	7,7,7,7	14,14,14,14	0.027015287429094315,0.022766519337892532,0.022766519337892532,0.02349831536412239	83.59026336669922,85.706787109375,85.706787109375,85.5428695678711	524.json
9,9,10,10,10	3,3,3,3,3	4,4,4,4,4	0.06533735245466232,0.06249575689435005,0.01127462275326252,0.01127462275326252,0.011816618964076042	105.00589752197266,105.23072052001953,103.52388000488281,103.52388000488281,103.29905700683594	1107.json
3,3,3	1,1,1	0,0,0	0.7765474319458008,0.7765474319458008,0.7899835705757141	131.28770446777344,131.28770446777344,130.85629272460938	49.json
16,15	4,4	7,7	0.2769352197647095,0.3182162940502167	96.13129425048828,97.42939758300781	258.json
11,11	3,3	5,5	0.0020536386873573065,0.0019765887409448624	100.2837142944336,100.17573547363281	404.json
5,5,5,5,5	1,1,1,1,1	0,0,0,0,0	0.5697525143623352,0.5697525143623352,0.5637614727020264,0.4998105466365814,0.4998105466365814	121.69422912597656,121.69422912597656,121.69422912597656,121.69422912597656,121.69422912597656	251.json
3,3,3	1,1,1	0,0,0	0.8578375577926636,0.8578375577926636,0.8672215342521667	130.57513427734375,130.57513427734375,130.18594360351562	14.json
4,4,13,13,13	1,1,2,2,2	0,0,1,1,1	0.10371838510036469,0.09318705648183823,0.21854452788829803,0.21854452788829803,0.2280491590499878	123.37332153320312,123.8484878540039,98.73814392089844,98.73814392089844,98.46391296386719	554.json
