SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
7,7,4,4	2,2,1,1	2,2,0,0	0.05038175359368324,0.030155854299664497,0.23244959115982056,0.09341729432344437	111.47267150878906,111.1737060546875,127.27810668945312,127.27810668945312	11701.json
10,10	2,2	2,2	0.0010047013638541102,9.609544649720192E-4	101.65874481201172,101.65874481201172	9648.json
8	2	5	0.016312556341290474	109.30946350097656	31077.json
78	22	41	0.0	53.88264465332031	35734.json
11,4	1,1	0,0	0.4879785180091858,0.46999120712280273	104.50337982177734,123.87862396240234	16742.json
6,6,6,6,6,6,6	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0.30626383423805237,0.30626383423805237,0.1854374259710312,0.024836743250489235,0.7401162981987,0.9377234578132629,0.9377234578132629	114.19991302490234,114.19991302490234,114.38914489746094,113.84972381591797,113.35316467285156,113.84972381591797,113.84972381591797	35901.json
4	1	0	0.2203855961561203	123.30459594726562	23667.json
4	1	0	0.0018777174409478903	122.5189437866211	29172.json
4,4,4,4,4,4,9,9	1,1,1,1,1,1,2,2	0,0,0,0,0,0,2,2	0.019091403111815453,0.011578531004488468,0.01294961478561163,0.013186033815145493,0.017257563769817352,0.03624827414751053,0.02984551712870598,0.028794366866350174	121.21139526367188,120.41825866699219,120.41825866699219,120.35528564453125,120.35528564453125,120.40968322753906,104.83753204345703,104.83753204345703	14167.json
4	1	0	0.8309152722358704	127.78498840332031	26654.json
19	3	6	2.688272506929934E-4	89.49344635009766	30590.json
9,8	1,1	0,0	3.640623763203621E-4,0.0016178677324205637	103.8000259399414,106.64690399169922	39718.json
23,23,23,24,9,9,15,15	3,3,3,3,2,2,2,2	0,0,0,0,0,0,0,0	0.02260923571884632,0.02260923571884632,0.018405575305223465,0.009231421165168285,6.03100226726383E-4,1.284917671000585E-4,3.0504053574986756E-4,2.6627021725289524E-4	85.35704803466797,85.35704803466797,85.35704803466797,84.14757537841797,103.44755554199219,102.94631958007812,94.20674133300781,94.20674133300781	16660.json
4,4,4	1,1,1	0,0,0	0.471603661775589,0.3978550434112549,0.1265944540500641	124.361083984375,124.6862564086914,123.65223693847656	28865.json
4	1	0	0.07202436029911041	124.7987289428711	11191.json
4,4	1,1	0,0	0.5293633341789246,0.5293633341789246	125.79222106933594,125.79222106933594	8395.json
4	1	0	0.9594235420227051	124.4649429321289	30937.json
21,21	7,7	7,7	0.01518839318305254,0.01518839318305254	86.73931884765625,86.73931884765625	19824.json
33,33,33,33,33,33,20,22,22,22	4,4,4,4,4,4,1,1,1,1	4,4,4,4,4,4,0,0,0,0	0.0,0.0,0.0,0.0,0.0,0.0,0.0011228637304157019,7.323682075366378E-4,2.652207622304559E-4,2.964453015010804E-4	74.91607666015625,74.91607666015625,74.82403564453125,74.80728912353516,74.90107727050781,74.80998229980469,87.09449768066406,85.32185363769531,85.01502227783203,85.01502227783203	34845.json
10,4	2,1	0,0	0.020802075043320656,0.019928866997361183	103.59352111816406,124.6862564086914	30866.json
9	2	2	0.1405183970928192	108.25540161132812	11814.json
5,5	1,1	0,0	0.6540037989616394,0.6540037989616394	123.19338989257812,123.19338989257812	21344.json
21	5	6	2.3209342907648534E-4	83.49359893798828	14280.json
5	1	0	0.06731479614973068	122.03304290771484	15851.json
18,18	4,4	5,5	0.012024838477373123,0.012931570410728455	89.54682922363281,89.4205093383789	1545.json
5	1	0	0.06400993466377258	122.03304290771484	22023.json
4	1	0	0.5619916915893555	126.0733642578125	27146.json
4,4,4,4,4,4	1,1,1,1,1,1	0,0,0,0,0,0	0.0,0.0,0.0,0.0,1.859272742876783E-4,1.859272742876783E-4	120.71578216552734,120.71578216552734,120.71578216552734,120.71578216552734,121.1530990600586,121.1530990600586	19189.json
11	3	5	0.28528520464897156	100.83890533447266	14415.json
