SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
3,3,3	1,1,1	0,0,0	0.7442026734352112,0.31683245301246643,0.818665087223053	131.03103637695312,129.9696044921875,133.59722900390625	29308.json
8	2	3	0.5513692498207092	110.05962371826172	22169.json
7,7,7,7	1,1,1,1	0,0,0,0	0.318515419960022,0.318515419960022,0.318515419960022,0.318515419960022	110.23220825195312,110.23220825195312,110.23220825195312,110.23220825195312	21014.json
2,2	1,1	0,0	0.9979173541069031,0.98134446144104	142.4026641845703,142.4026641845703	30608.json
3,3,3	1,1,1	0,0,0	0.09769466519355774,0.09769466519355774,0.09769466519355774	129.57785034179688,129.57785034179688,129.57785034179688	234.json
3,3,3	1,1,1	0,0,0	0.29677724838256836,0.29677724838256836,0.29677724838256836	133.59722900390625,133.59722900390625,133.59722900390625	14894.json
11,3	2,1	2,0	0.416703462600708,0.7283174991607666	103.56562805175781,130.30841064453125	8069.json
3,3,3,3	1,1,1,1	0,0,0,0	0.9749588370323181,0.9749588370323181,0.9749588370323181,0.9749588370323181	132.9956512451172,132.9956512451172,132.9956512451172,132.9956512451172	1043.json
9	2	0	0.8163787722587585	109.6474838256836	2716.json
9	2	2	0.5296037793159485	105.559326171875	23769.json
3	1	0	0.0063390834257006645	132.9956512451172	19339.json
6,6,6,6,3,3,3,3	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0.0289909727871418,0.026395626366138458,0.0014700859319418669,0.18142853677272797,0.7935193181037903,0.7935193181037903,0.7935193181037903,0.6210148334503174	113.25019073486328,113.25019073486328,112.61193084716797,113.52119445800781,131.43582153320312,131.43582153320312,131.43582153320312,131.43582153320312	344.json
11,8	1,1	0,0	0.21838028728961945,0.6239308714866638	105.81291198730469,110.97186279296875	15848.json
3,3,3	1,1,1	0,0,0	0.020215142518281937,0.020215142518281937,0.020215142518281937	133.59722900390625,133.59722900390625,133.59722900390625	15357.json
3,3,3	1,1,1	0,0,0	3.0742931994609535E-4,3.0742931994609535E-4,3.10105097014457E-4	133.59722900390625,133.59722900390625,133.59722900390625	15276.json
11,11,11	2,2,2	2,2,2	0.1808602511882782,0.16954964399337769,0.16117647290229797	102.48688507080078,102.48688507080078,102.30115509033203	8875.json
3,3,3	1,1,1	0,0,0	0.8700311779975891,0.8700311779975891,0.8700311779975891	132.9956512451172,132.9956512451172,132.9956512451172	27569.json
187,186,186	18,18,18	24,24,24	0.0,0.0,0.0	37.16402053833008,37.310813903808594,37.40850067138672	6959.json
3,3,3	1,1,1	0,0,0	0.27328336238861084,0.27328336238861084,0.27328336238861084	133.59722900390625,133.59722900390625,133.59722900390625	15304.json
3	1	0	0.5661783814430237	132.25152587890625	6749.json
4	1	0	0.46422678232192993	125.64796447753906	25149.json
16,17,17,17,20	4,4,4,4,5	2,2,2,2,2	0.10058976709842682,0.08802786469459534,0.06558677554130554,0.06558677554130554,0.03244210407137871	94.75066375732422,93.45651245117188,93.202880859375,93.202880859375,89.71553039550781	30855.json
3	1	0	0.7852294445037842	133.59722900390625	777.json
3,3,3,3	1,1,1,1	0,0,0,0	0.03418932482600212,0.03418932482600212,0.03418932482600212,0.8976629972457886	128.22288513183594,128.22288513183594,128.22288513183594,130.57513427734375	28843.json
3,3,3,3	1,1,1,1	0,0,0,0	0.7533931136131287,0.7533931136131287,0.7533931136131287,0.7533931136131287	130.99049377441406,130.99049377441406,130.99049377441406,130.99049377441406	21085.json
8	2	6	0.02780667506158352	107.70198059082031	27565.json
31,31,31,31,31	3,3,3,3,3	4,4,4,4,4	0.0,0.0,0.0,0.0,0.0	76.61054992675781,76.61054992675781,76.61054992675781,76.61054992675781,76.61054992675781	25021.json
29,29,29,30,30,30,31,31,31,29,30,30,37,35,55,56	1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2	0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2	1.1414210894145072E-4,1.1414210894145072E-4,1.1414210894145072E-4,0.0,0.0,0.0,0.0,0.0,0.0,1.1274154530838132E-4,0.0,0.0,0.0,0.0,0.0,0.0	83.72024536132812,83.72024536132812,83.72024536132812,82.87646484375,82.87646484375,82.87646484375,82.21057891845703,82.21057891845703,82.16128540039062,83.86446380615234,82.231201171875,82.74176788330078,77.04205322265625,78.1478500366211,70.9159927368164,70.42185974121094	10468.json
3,3,3	1,1,1	0,0,0	0.785103440284729,0.8231422305107117,0.8231422305107117	131.1535186767578,130.85629272460938,130.85629272460938	10148.json
13,14,14	4,4,4	5,5,5	0.31860578060150146,0.13608945906162262,0.14577816426753998	99.00340270996094,97.20541381835938,97.20541381835938	12454.json
4,4,4,4,4	1,1,1,1,1	0,0,0,0,0	0.2424796223640442,0.2387814074754715,0.2387814074754715,0.2387814074754715,0.2387814074754715	122.68119049072266,122.68119049072266,122.68119049072266,122.68119049072266,122.68119049072266	22620.json
11	3	4	0.041443485766649246	100.74182891845703	4097.json
3	1	0	0.5738900899887085	132.79563903808594	23735.json
4,4,4,4	1,1,1,1	0,0,0,0	0.25389590859413147,0.25389590859413147,0.25389590859413147,0.31981161236763	121.92401123046875,121.92401123046875,121.92401123046875,121.70132446289062	102.json
3	1	0	0.029565250501036644	128.91311645507812	16016.json
3,3,10,10,16	1,1,1,1,1	0,0,0,0,0	0.13412021100521088,0.160768061876297,0.005246338434517384,0.005371758248656988,7.213061908259988E-4	127.62944793701172,127.46943664550781,101.82247924804688,101.75867462158203,91.54393005371094	1492.json
