SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
12,13,13,18,18,18,18,20,27,27,27,27	3,3,3,5,5,5,5,5,6,6,6,6	4,4,4,8,8,8,8,8,9,9,9,9	0.019533902406692505,0.04006016254425049,0.0379214882850647,0.008234482258558273,0.006278244312852621,0.008234482258558273,0.006278244312852621,0.006736085284501314,0.0036164172925055027,0.0046271043829619884,0.00430438993498683,0.0030234907753765583	98.99183654785156,97.4822006225586,97.58756256103516,89.80477905273438,89.556640625,89.80477905273438,89.556640625,87.59552764892578,81.39664459228516,81.60015869140625,81.60015869140625,81.53372955322266	18737.json
42,42,42,42,39,40,58,58,58	7,7,7,7,6,6,8,8,8	12,12,12,12,10,10,18,15,15	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	71.04151153564453,71.10460662841797,71.10460662841797,71.10460662841797,72.78092956542969,72.08512115478516,63.9389533996582,64.00498962402344,64.08944702148438	26730.json
6,6,7	1,1,1	0,0,0	0.3836361765861511,0.9311107993125916,0.8972970247268677	117.89640808105469,117.89640808105469,115.0830307006836	22515.json
8,8,8,8,8,8	3,3,3,3,3,3	4,4,4,4,4,4	0.45922768115997314,0.45922768115997314,0.46831998229026794,0.46831998229026794,0.46831998229026794,0.17430424690246582	106.1358871459961,106.1358871459961,106.0880355834961,106.0880355834961,106.0880355834961,105.57600402832031	11120.json
58	18	33	0.0	60.009849548339844	4428.json
7,8,9,10,10,10	2,2,2,2,2,2	2,2,2,2,2,2	0.1510307341814041,0.15500231087207794,0.026493288576602936,0.06592285633087158,0.16477105021476746,0.15919585525989532	112.11737823486328,109.49869537353516,106.41365814208984,104.29228973388672,104.29228973388672,104.44759368896484	15746.json
8,8,9,8	2,2,2,2	2,2,2,2	0.158970907330513,0.10952699184417725,0.038593802601099014,0.10952699184417725	109.44644927978516,109.21004486083984,106.48002624511719,109.21004486083984	14017.json
103,100,100,100,100,100,100,100,100,100,100,100,100,91,98,91,94,95,95,95,95,102,101,109,120,113,114,113,113,117,118,118,124,128,129,120,113,121,121,121,128,120,122,122,122,130,130,122,122,122,122,122,122,126,125,126,140,140,142,142,141,143,153,153,158,167,158,165,165,160,169,175	23,23,23,23,23,23,23,23,23,23,23,23,23,22,24,22,22,23,23,23,23,25,25,26,30,27,27,27,27,28,28,28,30,31,31,31,31,34,34,34,35,33,35,35,35,35,35,35,35,35,35,35,35,36,36,36,40,39,39,39,39,39,42,42,43,45,43,45,45,44,45,47	42,43,43,43,43,43,43,43,43,43,43,43,43,38,41,38,38,42,42,42,42,45,45,46,50,45,45,45,45,46,46,46,48,49,49,49,49,49,49,49,51,48,51,51,51,51,51,51,51,51,51,51,51,52,54,54,58,57,57,57,59,60,65,65,67,69,67,68,68,68,70,71	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	47.1338996887207,47.742862701416016,47.742862701416016,47.742862701416016,47.742862701416016,47.742862701416016,47.742862701416016,47.742862701416016,47.742862701416016,47.742862701416016,47.742862701416016,47.742862701416016,47.73411560058594,49.98966979980469,48.02635192871094,49.98966979980469,49.46421813964844,48.9058952331543,48.81571960449219,48.81571960449219,48.84219741821289,46.91847229003906,47.181907653808594,46.208099365234375,43.13008117675781,45.150699615478516,44.94581985473633,45.150699615478516,45.150699615478516,44.1395378112793,43.922786712646484,43.87017059326172,42.433807373046875,41.43177795410156,41.266117095947266,42.482933044433594,43.54502487182617,41.275394439697266,41.26007843017578,41.26007843017578,39.8958625793457,41.64751052856445,40.72377014160156,40.72377014160156,40.7379035949707,39.33411407470703,39.35440444946289,40.57963943481445,40.55083084106445,40.55083084106445,40.55740737915039,39.827816009521484,39.80287551879883,38.97001266479492,39.160709381103516,38.99456787109375,35.753196716308594,36.01081085205078,35.702552795410156,35.658992767333984,35.79521560668945,35.5290641784668,33.40559768676758,33.41525650024414,32.58658981323242,30.96047592163086,32.58658981323242,31.175127029418945,31.175127029418945,31.96637725830078,30.34425163269043,29.146902084350586	731.json
12,3	3,1	3,0	0.2315332144498825,0.7097793221473694	101.70502471923828,129.57785034179688	23101.json
6,6,6,6	2,2,2,2	2,2,2,2	0.2510852515697479,0.2215493619441986,0.2215493619441986,0.030091803520917892	115.56517028808594,115.56517028808594,115.56517028808594,114.63607025146484	17454.json
3,3	1,1	0,0	0.22869984805583954,0.6582608222961426	131.28770446777344,132.4454345703125	4623.json
3,3,3	1,2,2	0,2,2	0.03182196244597435,0.08367735892534256,0.10751918703317642	127.25540161132812,125.98087310791016,125.98087310791016	183.json
5	1	0	0.43467023968696594	123.32530975341797	26158.json
3,3	1,1	0,0	0.9106178879737854,0.9106178879737854	131.1385955810547,131.1385955810547	1808.json
52,34,34,37,38,38	19,19,18,18,18,18	23,23,21,21,21,21	0.0,0.0,0.0,0.0,0.0,0.0	64.33409881591797,71.21720886230469,71.69173431396484,70.32190704345703,69.74711608886719,69.5164794921875	11890.json
10,8,15,13	1,1,2,2	0,0,2,2	0.05434183031320572,0.0669708102941513,0.012985721230506897,0.06478264182806015	106.10973358154297,108.95487213134766,94.7186279296875,98.94658660888672	17807.json
9,8	3,3	4,4	0.12903571128845215,0.09388192743062973	104.35847473144531,106.26656341552734	22087.json
3	1	0	0.899408221244812	132.25152587890625	18288.json
24,26,26,30,30,30,31,35,38,43,15	7,8,8,10,10,10,11,11,11,12,4	13,14,14,17,19,19,21,25,26,26,6	0.011865515261888504,0.0037581324577331543,0.005018408410251141,9.116273140534759E-4,7.775867125019431E-4,8.871627505868673E-4,0.001303515280596912,6.985493819229305E-4,1.3353038229979575E-4,0.0,0.04479299485683441	82.84364318847656,80.86612701416016,80.89812469482422,77.572021484375,77.40392303466797,77.40392303466797,76.1147689819336,73.09111022949219,71.56681823730469,68.79437255859375,93.89613342285156	26961.json
