SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
82,82,68,68,68	10,10,9,9,9	16,16,14,14,14	0.0,0.0,0.0,0.0,0.0	54.19729232788086,54.22504425048828,58.958412170410156,58.958412170410156,58.958412170410156	16655.json
3	1	0	0.9378616809844971	133.59722900390625	27736.json
8,18,45	2,4,12	4,5,15	0.840783953666687,0.004514710046350956,0.0	107.75645446777344,89.11860656738281,67.00032043457031	6325.json
15	4	9	0.0033637492451816797	93.65790557861328	13346.json
7	2	2	0.27014032006263733	113.3831787109375	49113.json
7,7,7	3,3,4	5,5,7	0.0651782974600792,0.0651782974600792,0.0025868096854537725	110.38402557373047,110.38402557373047,108.43439483642578	6911.json
19,20,24,24	3,3,6,6	21,23,29,29	0.0,0.0,0.0,0.0	87.52355194091797,85.89959716796875,79.73565673828125,79.73565673828125	43362.json
3,3,3	1,1,1	0,0,0	0.2920512855052948,0.29756370186805725,0.6061285734176636	128.62307739257812,128.62307739257812,129.47398376464844	46977.json
3	1	0	0.8642004132270813	130.85629272460938	20837.json
3,3	1,1	0,0	0.9603529572486877,0.9603529572486877	129.58164978027344,129.58164978027344	35650.json
3,3	1,1	0,0	0.890835702419281,0.8910670280456543	131.60296630859375,130.57513427734375	4851.json
3,3,3,3,3,3,3	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0.8575931191444397,0.8575931191444397,0.8575931191444397,0.8575931191444397,0.8415356874465942,0.8575931191444397,0.8575931191444397	130.18594360351562,130.18594360351562,130.18594360351562,130.18594360351562,130.18594360351562,130.18594360351562,130.18594360351562	27470.json
7	3	3	0.18174034357070923	109.2618408203125	34831.json
3	1	0	0.697486162185669	131.28770446777344	11035.json
3	1	0	0.8673908710479736	129.57785034179688	28076.json
4,4	1,1	0,0	0.608586311340332,0.41512706875801086	125.0554428100586,124.58238983154297	49057.json
6,6,6,6,6	2,2,2,2,2	3,3,3,3,3	0.7525209188461304,0.7525209188461304,0.7525209188461304,0.7395214438438416,0.7395214438438416	115.18394470214844,115.18394470214844,115.18394470214844,115.18394470214844,115.18394470214844	46662.json
9	2	2	0.05321698263287544	105.87328338623047	8020.json
6	2	2	0.33465251326560974	113.3984146118164	22613.json
4,5,5,5,9	2,2,2,2,2	2,2,2,2,3	0.3875897526741028,0.7525151371955872,0.7548891305923462,0.7654020190238953,0.3262484073638916	122.2049331665039,116.28157043457031,116.28157043457031,116.28157043457031,106.13468170166016	24116.json
3	1	0	0.9997812509536743	126.77063751220703	22213.json
16,16	2,2	2,2	0.2048070728778839,0.21560709178447723	95.75853729248047,95.80843353271484	41887.json
6	3	3	0.3326346278190613	114.73261260986328	6942.json
5	1	0	0.22676509618759155	116.79476165771484	44235.json
7,7,7,26,30,30,3	1,1,1,6,7,7,1	0,0,0,17,19,19,0	1.2089470692444593E-4,1.2089470692444593E-4,1.2101935863029212E-4,0.0,0.0,0.0,0.4662162959575653	108.52398681640625,108.52398681640625,108.52398681640625,78.49418640136719,74.73414611816406,74.73414611816406,131.28770446777344	45897.json
3	1	0	0.019118279218673706	127.42049407958984	36211.json
11,11,11	3,3,3	9,9,9	0.08237314969301224,0.08237314969301224,0.08237314969301224	99.79966735839844,99.79966735839844,99.79966735839844	26522.json
5	3	4	0.5822762846946716	120.18978118896484	41528.json
26,19,19	7,5,5	12,7,7	0.0017613666132092476,0.003017993178218603,0.0053065563552081585	81.45160675048828,88.51537322998047,88.77361297607422	10983.json
2	1	0	0.9971315264701843	142.4026641845703	24275.json
3	1	0	0.24008198082447052	129.2428436279297	29620.json
3,3,3	1,1,1	0,0,0	0.42777514457702637,0.3922092616558075,0.15893374383449554	132.25152587890625,132.25152587890625,132.25152587890625	46309.json
11	4	6	0.0	97.9397201538086	1390.json
9,8,13,13	1,1,3,3	0,0,4,4	0.015005262568593025,0.008835683576762676,0.01816745474934578,0.016786029562354088	105.558837890625,107.97125244140625,98.2386474609375,98.2386474609375	22533.json
5	1	0	0.1739414483308792	118.21444702148438	2810.json
3	1	0	0.3820216655731201	131.91592407226562	18601.json
