SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
32	4	8	4.307574708946049E-4	76.97711181640625	3880.json
3	1	0	0.8274266719818115	132.4454345703125	635.json
16,16,16,16	2,2,2,2	0,0,0,0	0.0,0.0,0.0,0.0	90.96918487548828,91.00784301757812,91.00784301757812,91.00784301757812	2078.json
3,3	1,1	0,0	0.5692585706710815,0.11671208590269089	129.61952209472656,128.83535766601562	1053.json
3,3,3	1,1,1	0,0,0	0.0023053763434290886,0.08509930223226547,0.3216206133365631	126.56407165527344,129.34671020507812,129.2428436279297	1083.json
8,8,8,11,11,10,8,7,8,8	2,2,2,2,2,1,2,3,3,3	3,3,3,3,3,0,0,2,2,2	0.01130196824669838,0.011795492842793465,0.010569713078439236,0.02796192280948162,0.032042115926742554,0.19685623049736023,0.008255848661065102,0.023723414167761803,0.03288034722208977,0.033088941127061844	105.3952407836914,105.3952407836914,105.3952407836914,99.91075897216797,99.91075897216797,105.06654357910156,106.82501220703125,109.93583679199219,107.77262878417969,107.77262878417969	2470.json
12	1	0	1.4246001956053078E-4	97.97913360595703	5152.json
3,3,3	1,1,1	0,0,0	0.7363205552101135,0.7503503561019897,0.7572861313819885	131.75106811523438,131.75106811523438,131.75106811523438	2023.json
3	1	0	0.15886691212654114	129.47398376464844	1678.json
7,7,7,7,7,7,7,7,7	2,2,2,2,2,2,2,2,2	0,0,0,0,0,0,0,0,0	0.15379598736763,0.1550430804491043,0.27059075236320496,0.4084233343601227,0.27059075236320496,0.4742816984653473,0.4742816984653473,0.4742816984653473,0.47309109568595886	111.067138671875,111.067138671875,111.36113739013672,111.91792297363281,111.36113739013672,111.7208480834961,111.7208480834961,111.7208480834961,111.7208480834961	206.json
3,3,3,19,19,18,8,7	1,1,1,11,11,9,5,4	0,0,0,21,21,16,8,5	0.9581443667411804,0.9581443667411804,0.9581443667411804,0.0,0.0,0.0049939025193452835,0.3075380027294159,0.28595638275146484	130.45266723632812,130.45266723632812,130.45266723632812,84.43305969238281,84.43305969238281,87.60743713378906,105.83234405517578,109.3342514038086	4802.json
9	1	0	8.09324556030333E-4	104.10458374023438	3341.json
7	3	2	0.024878835305571556	109.93583679199219	2458.json
9,9	1,1	0,0	0.024142460897564888,0.024142460897564888	104.50032043457031,104.50032043457031	3680.json
14,14,13,12,12	1,1,1,1,1	0,0,0,0,0	0.014567915350198746,0.014419843442738056,1.8278819334227592E-4,1.9426837388891727E-4,1.0449827823322266E-4	93.8302001953125,93.8302001953125,95.5262222290039,97.03189849853516,96.39115142822266	4259.json
3	1	0	0.886692464351654	131.1535186767578	1729.json
7	2	4	0.0	108.19660186767578	430.json
3	1	0	0.0016022940399125218	127.59430694580078	1730.json
4	1	0	0.6672384738922119	125.91468811035156	31.json
3,3,3	1,1,1	0,0,0	0.06634262204170227,0.08320929855108261,0.07334304600954056	128.712890625,128.22288513183594,128.50894165039062	3727.json
3	1	0	0.16534395515918732	128.14134216308594	4341.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.16018524765968323,0.5086492300033569,0.16018524765968323,0.7853739857673645,0.8198001980781555	129.47398376464844,133.59722900390625,129.47398376464844,133.59722900390625,133.59722900390625	961.json
5,5	1,1	0,0	0.0018829447217285633,3.0848008464090526E-4	115.07886505126953,114.60993957519531	1598.json
8	2	3	0.61794513463974	108.2587661743164	1319.json
16,16,17,15,15	3,3,3,2,2	4,4,4,2,2	0.32687827944755554,0.32583898305892944,0.31762924790382385,0.08238991349935532,0.06509062647819519	92.84369659423828,92.84369659423828,91.53589630126953,92.64788055419922,92.41153717041016	4943.json
3	1	0	0.6326170563697815	131.43582153320312	643.json
3,3,3,3,3,3	1,1,1,1,1,1	0,0,0,0,0,0	0.9235057830810547,0.9235057830810547,0.9235057830810547,0.8953813314437866,0.43578222393989563,0.3557947874069214	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	3536.json
18,11,13,13	5,3,4,4	10,4,8,8	0.13323195278644562,0.25941094756126404,0.20340706408023834,0.20128916203975677	91.00623321533203,102.25688934326172,98.09542083740234,98.09542083740234	3888.json
3	1	0	0.5021120309829712	129.7158966064453	5150.json
3	1	0	0.21714763343334198	132.61029052734375	3531.json
33,31,31,31,31,31,31	4,4,4,4,4,4,4	4,4,4,4,4,4,4	2.3166387109085917E-4,1.4756184828002006E-4,2.2023044584784657E-4,2.2023044584784657E-4,1.979562221094966E-4,2.2023044584784657E-4,2.3808691184967756E-4	75.74798583984375,76.45232391357422,76.45232391357422,76.45232391357422,76.45232391357422,76.45232391357422,76.52000427246094	5114.json
3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0.5498250722885132,0.6720779538154602,0.6720779538154602,0.7103363871574402,0.7103363871574402,0.6860426664352417,0.714756429195404,0.5696642398834229	134.26058959960938,134.26058959960938,134.26058959960938,134.26058959960938,134.26058959960938,134.26058959960938,133.59722900390625,133.59722900390625	994.json
3	1	0	0.0	124.79442596435547	3328.json
3	1	0	0.5154215097427368	129.7158966064453	5439.json
3	1	0	0.10584094375371933	128.712890625	5357.json
4	1	0	0.31640350818634033	126.19583892822266	3564.json
3,3,3,3	1,1,1,1	0,0,0,0	0.058268796652555466,0.058268796652555466,0.058268796652555466,0.058268796652555466	127.19728088378906,127.19728088378906,127.19728088378906,127.19728088378906	96.json
3	1	0	0.2858825922012329	130.7338104248047	3312.json
4	1	0	1.2896266707684845E-4	121.14502716064453	1862.json
5	1	0	0.6452288031578064	119.0662612915039	1430.json
8,8,8,9,7,9,21,22,31,31,31,33,33	1,1,1,1,1,1,4,4,5,5,4,5,5	0,0,0,0,0,0,4,4,6,8,6,8,8	0.01005389355123043,0.01005389355123043,0.009630754590034485,0.09936445951461792,0.060278795659542084,6.095940480008721E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0	105.56221008300781,105.56221008300781,105.56221008300781,103.21331787109375,108.08954620361328,102.18270874023438,84.1629867553711,83.2816162109375,75.86489868164062,75.73243713378906,75.92304229736328,74.49061584472656,74.49061584472656	5221.json
3	1	0	0.13818037509918213	133.59722900390625	191.json
3	1	0	0.5233215093612671	129.81976318359375	2359.json
3	1	0	0.1736573725938797	130.30841064453125	253.json
3,3,3	1,1,1	0,0,0	0.9049878120422363,0.9049878120422363,0.90423983335495	131.28770446777344,131.28770446777344,131.28770446777344	4818.json
3	1	0	0.7811070680618286	133.59722900390625	4313.json
5,5	1,1	0,0	0.21089377999305725,0.21089377999305725	119.48943328857422,119.48943328857422	3251.json
5	2	4	0.5328278541564941	116.13975524902344	1793.json
13,13,13,9,9	4,4,4,4,4	6,6,6,7,7	0.018322961404919624,0.018490394577383995,0.015330659225583076,0.3441954553127289,0.34407296776771545	96.75933837890625,96.75933837890625,96.75933837890625,104.91268920898438,104.91268920898438	3607.json
3	1	0	0.8606992363929749	128.83535766601562	2885.json
39,39,37,37,37,37,37,37,35,35,35,35	7,7,7,7,7,7,7,7,6,6,6,6	11,11,11,11,11,11,11,11,10,10,10,10	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	71.30244445800781,71.137939453125,72.60993194580078,72.60993194580078,72.60993194580078,72.60993194580078,72.94029235839844,72.94029235839844,74.2676010131836,74.2676010131836,74.2676010131836,74.53195190429688	2218.json
3	1	0	0.4638162851333618	129.2428436279297	3313.json
3	1	0	0.3951352536678314	132.25152587890625	3339.json
6,8,13	2,3,4	2,4,6	0.8890014886856079,0.11003301292657852,0.030074074864387512	115.10508728027344,106.41438293457031,95.91313171386719	1258.json
3,3	1,2	0,2	0.5522752404212952,0.8270447850227356	130.05470275878906,127.53728485107422	5675.json
4	1	0	0.799122154712677	125.27178192138672	3658.json
3	1	0	0.6191400289535522	131.75106811523438	5686.json
27,26,26,29	4,4,4,5	4,4,4,4	0.0,0.0,0.0,0.0	78.73072052001953,79.615478515625,79.615478515625,77.26708984375	5469.json
6,6,6	3,3,3	6,6,6	0.07057054340839386,0.0724826529622078,0.07087385654449463	112.2688980102539,112.2688980102539,112.2688980102539	3299.json
27,20,20,20,20,21,3	4,3,3,3,3,3,1	5,2,2,2,2,2,0	0.0,2.518807305023074E-4,2.557250845711678E-4,2.518807305023074E-4,2.7895887615159154E-4,0.0,0.009479482658207417	78.19480895996094,85.4178237915039,85.3885269165039,85.4178237915039,85.44728088378906,84.30785369873047,128.41912841796875	1096.json
19,3	4,1	0,0	0.006082402542233467,0.3177522122859955	87.6475830078125,130.45266723632812	274.json
3	1	0	0.08344766497612	129.2428436279297	1746.json
3,16	1,3	0,5	7.436424493789673E-4,0.0	127.8512954711914,88.49652099609375	3820.json
3	1	0	0.7450147271156311	129.61952209472656	2895.json
11,12,15,20,20,20,20,20	3,4,5,7,7,7,7,7	3,5,7,12,12,12,12,12	0.033050622791051865,0.021095015108585358,0.04029780998826027,8.445830317214131E-4,8.687771623954177E-4,6.313078920356929E-4,6.143818027339876E-4,6.120266043581069E-4	99.86539459228516,97.4508056640625,92.55684661865234,86.3527603149414,86.3527603149414,86.25003051757812,86.25003051757812,86.25003051757812	2615.json
4,4,4,4,5,3,3	2,2,2,2,3,1,1	2,2,2,2,3,0,0	0.2533241808414459,0.2533241808414459,0.26797813177108765,0.028575899079442024,0.004396330565214157,0.3415541648864746,0.07707943022251129	122.97073364257812,122.97073364257812,122.97073364257812,121.9262924194336,115.81747436523438,130.85629272460938,130.18594360351562	2365.json
11,14,14,14,14	4,6,6,6,6	14,13,13,13,13	0.0048361713998019695,0.023509595543146133,0.02394772134721279,0.02428152970969677,0.02055058442056179	97.33182525634766,92.25105285644531,92.25105285644531,92.25105285644531,92.11310577392578	4129.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.3548176884651184,0.6542529463768005,0.6274401545524597,0.43325257301330566,0.43325257301330566	131.91592407226562,131.91592407226562,131.91592407226562,129.7158966064453,129.7158966064453	4203.json
3	1	0	0.023370157927274704	131.28770446777344	1903.json
3,3	1,1	0,0	0.7932906150817871,0.963330090045929	131.03103637695312,133.59722900390625	4308.json
3,3	1,1	0,0	0.9495198726654053,0.9491027593612671	132.4454345703125,132.4454345703125	4864.json
3,3,3,3	1,1,1,1	0,0,0,0	0.054669249802827835,0.06039850413799286,0.16794608533382416,0.1649629920721054	128.8092498779297,128.8092498779297,129.0215301513672,129.34671020507812	1216.json
3,3	1,1	0,0	0.8379369974136353,0.6165041923522949	132.61029052734375,132.61029052734375	2253.json
9,9,9,3	3,3,3,1	3,3,3,0	0.040939632803201675,0.040939632803201675,0.04029221460223198,0.08640062808990479	106.48480224609375,106.48480224609375,106.48480224609375,128.712890625	4962.json
6,6,6,6,6,6,11	1,1,1,1,1,1,3	0,0,0,0,0,0,6	0.28091660141944885,0.27055928111076355,0.25987687706947327,0.27671802043914795,0.2547779083251953,0.2547779083251953,0.024924051016569138	114.44808959960938,114.44808959960938,114.44808959960938,114.44808959960938,114.44808959960938,114.44808959960938,99.86539459228516	3070.json
7	1	0	0.867775022983551	115.9896240234375	2698.json
10	3	3	0.0014835622860118747	100.24762725830078	2329.json
2,2,2,2	1,1,1,1	0,0,0,0	0.7524945735931396,0.7524945735931396,0.9668415784835815,0.27406221628189087	142.4026641845703,142.4026641845703,142.4026641845703,137.59957885742188	842.json
3,5	1,1	0,0	0.1561775952577591,0.3671070635318756	130.44261169433594,117.86318969726562	2339.json
9,9,9,9	3,3,3,3	4,4,4,4	0.10680197924375534,0.17795374989509583,0.14884735643863678,0.13954949378967285	104.83882141113281,105.01719665527344,105.01719665527344,105.01719665527344	2634.json
3,3	1,1	0,0	0.3037570118904114,0.2884300649166107	131.28770446777344,131.28770446777344	1401.json
6,5	1,1	0,0	0.21824480593204498,0.17154435813426971	117.283935546875,120.96249389648438	2481.json
3,3,3	1,1,1	0,0,0	0.5432079434394836,0.2694415748119354,0.5432079434394836	129.81976318359375,127.94976043701172,129.81976318359375	2886.json
3,3	1,1	0,0	0.31574609875679016,0.059428345412015915	129.69032287597656,127.94110107421875	2692.json
10,13,13,13,13,13,13,12,12,12	4,4,4,4,4,4,4,4,4,4	3,3,3,3,3,3,3,3,3,3	0.002901908475905657,0.005204673390835524,5.260928883217275E-4,5.34428923856467E-4,4.577681247610599E-4,4.723906167782843E-4,4.723906167782843E-4,0.0069444733671844006,0.00655605411157012,0.006607756018638611	101.1794204711914,97.03041076660156,96.24495697021484,96.24495697021484,96.15411376953125,96.15411376953125,96.15411376953125,98.45550537109375,98.45550537109375,98.45550537109375	3373.json
4,6,6,6,6	1,3,3,3,3	0,4,4,4,4	0.005455767270177603,5.121632711961865E-4,8.933406206779182E-4,8.933406206779182E-4,3.2549165189266205E-4	121.27667999267578,111.15843963623047,111.38959503173828,111.38959503173828,111.15843963623047	1558.json
5,10	3,4	3,3	0.6903110146522522,0.897664487361908	117.33822631835938,105.54813385009766	2740.json
20,20	5,5	11,11	0.0018843208672478795,0.0018195037264376879	85.97364044189453,86.00532531738281	4936.json
7,9,9,10,10,10,10,10,10	4,4,4,4,4,4,4,4,4	7,7,7,6,6,6,6,6,6	0.171769380569458,0.23621337115764618,0.22927840054035187,0.09070666879415512,0.0510152131319046,0.0545559898018837,0.05444289743900299,0.0545559898018837,0.04935977980494499	107.11903381347656,103.04773712158203,103.04773712158203,100.85474395751953,100.85474395751953,100.85474395751953,100.85474395751953,100.85474395751953,100.85474395751953	2584.json
1,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.9880495071411133,0.9700493812561035,0.9700493812561035,0.9676591753959656,0.9676591753959656	150.7931671142578,132.9956512451172,132.9956512451172,133.59722900390625,133.59722900390625	2303.json
8,5,3,5,5,5,3	2,2,1,2,2,2,1	2,0,0,2,2,3,0	0.31607431173324585,0.20855167508125305,0.5482375621795654,0.15427999198436737,0.15697340667247772,0.07656150311231613,0.3210689127445221	110.66998291015625,117.70330047607422,131.28770446777344,117.56822967529297,117.56822967529297,116.33863830566406,129.81976318359375	3092.json
3	1	0	0.3951352536678314	132.25152587890625	3117.json
7,7,8,8,8,8	2,2,2,2,2,2	0,0,0,0,0,0	0.012803815305233002,9.450174402445555E-4,1.273692905670032E-4,0.0,0.0,0.0	109.35380554199219,109.13788604736328,105.75076293945312,104.80902099609375,104.80902099609375,104.80902099609375	2229.json
12,5,5	7,1,1	11,0,0	0.028354104608297348,0.9675843715667725,0.966668963432312	97.75066375732422,118.6647720336914,118.6647720336914	1218.json
3,3	1,1	0,0	0.19524350762367249,0.8606181144714355	130.45266723632812,129.61952209472656	5485.json
3,3	1,1	0,0	0.8379369974136353,0.6165041923522949	132.61029052734375,132.61029052734375	2250.json
13,14	3,5	2,5	9.19652811717242E-4,5.319039337337017E-4	94.89083862304688,92.1663589477539	429.json
17,19,19,21,23,28,28	3,6,8,9,11,13,13	4,11,12,13,16,19,20	0.0017838405910879374,5.345458048395813E-4,2.2004972561262548E-4,0.0,0.0,0.0,0.0	92.14888000488281,87.1983413696289,86.6024169921875,84.09371185302734,81.55945587158203,76.98419189453125,76.88653564453125	5659.json
3,5,5,4,4,4,4	1,2,2,1,1,1,1	0,2,2,0,0,0,0	0.7717028856277466,0.8323874473571777,0.8966603875160217,0.7337235808372498,0.766948938369751,0.766948938369751,0.766948938369751	131.28770446777344,119.34591674804688,119.80731201171875,125.64796447753906,126.4781494140625,126.4781494140625,126.4781494140625	5258.json
3,3,3	1,1,1	0,0,0	0.6399912238121033,0.6510966420173645,0.6798937320709229	130.57513427734375,130.57513427734375,130.57513427734375	4935.json
6,6	2,2	3,3	0.08612462133169174,0.10324487090110779	112.64874267578125,112.64874267578125	1214.json
4	2	2	0.6349584460258484	123.23312377929688	4258.json
3	1	0	0.9903013706207275	132.79563903808594	5318.json
3,3	1,1	0,0	0.6326874494552612,0.6640474796295166	131.43582153320312,131.43582153320312	2491.json
9	1	0	0.10442209988832474	107.1583251953125	1995.json
3,3,3,5,5,5,4	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0.8084821105003357,0.801271378993988,0.25491514801979065,0.39108896255493164,0.17615358531475067,0.1794329434633255,0.15054483711719513	133.59722900390625,131.75106811523438,129.81976318359375,119.1451187133789,118.74115753173828,118.74115753173828,123.19084167480469	2635.json
29,29,29	3,3,3	2,2,2	0.0,0.0,0.0	78.5980224609375,78.5980224609375,78.69125366210938	5557.json
2,13,13,19,19,28,28,28,32	1,4,4,7,7,9,9,9,11	0,2,2,2,2,7,7,7,7	0.998108983039856,0.33967432379722595,0.27264121174812317,0.11788564175367355,0.08748067915439606,6.465277401730418E-4,7.972639868967235E-4,7.972639868967235E-4,5.609070067293942E-4	140.82913208007812,97.52388763427734,97.38333892822266,88.33154296875,88.26697540283203,78.21154022216797,78.21154022216797,78.21154022216797,75.09087371826172	941.json
13,13,13,16,16	2,2,2,3,3	0,0,0,4,4	0.009579287841916084,0.009579287841916084,0.021176522597670555,0.003805609419941902,0.0038061747327446938	97.2193374633789,97.2193374633789,97.60895538330078,92.298828125,92.32718658447266	3045.json
3,3	1,1	0,0	0.7455278038978577,0.2956531047821045	130.7338104248047,130.07347106933594	1356.json
3,3,3,3,3,3	1,1,1,1,1,1	0,0,0,0,0,0	0.4371092617511749,0.43840786814689636,0.8602203130722046,0.7768486738204956,0.7768486738204956,0.7666923403739929	128.3351287841797,127.51214599609375,130.7338104248047,129.81976318359375,129.81976318359375,129.81976318359375	192.json
5,5	1,1	0,0	0.03652587905526161,0.034414637833833694	118.3609390258789,118.3609390258789	757.json
3	1	0	0.17760461568832397	127.76728820800781	4505.json
3,3	1,1	0,0	0.665803849697113,0.8664301037788391	131.60296630859375,132.43687438964844	1323.json
8,8,8	2,2,2	3,3,3	0.023977216333150864,0.023977216333150864,0.024260086938738823	105.90028381347656,105.90028381347656,105.90028381347656	951.json
4,4	3,3	5,5	0.004090550355613232,0.003503413638100028	119.39532470703125,119.39532470703125	1727.json
14,15,18,18	4,4,5,5	4,4,5,5	0.024181872606277466,0.007676021661609411,0.3195045292377472,0.506366491317749	96.53108978271484,94.0595703125,90.5631332397461,91.12309265136719	4974.json
3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0.541132926940918,0.79021817445755,0.8656731247901917,0.8646618723869324,0.3557947874069214,0.3691382110118866,0.17624300718307495,0.17624300718307495	132.9956512451172,132.4454345703125,132.4454345703125,132.4454345703125,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	3279.json
25,22,22,23,22,23,23,29,29	4,3,3,3,3,3,3,5,5	4,2,2,2,2,2,2,5,5	7.959274807944894E-4,0.020722229033708572,0.019753247499465942,0.014751587994396687,0.02106642723083496,0.013378409668803215,0.01120387576520443,0.004505802411586046,0.003605698700994253	80.68058013916016,84.81671905517578,84.76142883300781,83.87725830078125,84.79486846923828,83.79167175292969,83.70730590820312,78.3991470336914,78.32928466796875	765.json
3,3	1,1	0,0	0.889050304889679,0.889050304889679	131.75106811523438,131.75106811523438	3023.json
3	1	0	0.8983124494552612	133.59722900390625	2296.json
8	2	3	0.5479761362075806	108.2587661743164	1315.json
3,3	1,1	0,0	0.16472534835338593,0.19524350762367249	130.45266723632812,130.45266723632812	5475.json
18,18,18,18,18,18,18,19	1,1,1,1,1,1,1,2	0,0,0,0,0,0,0,2	0.8235025405883789,0.7670243382453918,0.7670243382453918,0.7912514805793762,0.7961748242378235,0.782414436340332,0.782414436340332,0.6938401460647583	93.17633819580078,93.17633819580078,93.17633819580078,93.17633819580078,93.17633819580078,93.17633819580078,93.17633819580078,91.15583038330078	2980.json
3	1	0	0.6025007367134094	132.61029052734375	5580.json
11,11,11,11,11,11,13,13,13,13	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	98.2325668334961,98.2325668334961,98.35787200927734,98.35787200927734,98.2343978881836,98.2343978881836,94.40279388427734,93.8224868774414,93.73136901855469,93.64169311523438	2998.json
4	2	2	0.6132680773735046	123.62247467041016	373.json
8,8,8,12,10,10,10,10	5,5,5,5,3,3,3,3	3,3,3,3,4,4,4,4	0.6151116490364075,0.6151116490364075,0.6151116490364075,0.4677985608577728,0.09952127933502197,0.09977874904870987,0.11273997277021408,0.027368824928998947	108.79000854492188,108.79000854492188,108.79000854492188,102.22147369384766,103.87655639648438,103.6401596069336,103.95075225830078,104.81724548339844	3148.json
3	1	0	0.7284901142120361	131.28770446777344	1487.json
3	1	0	0.9417896866798401	132.4454345703125	1295.json
22,8,9,10,11,11	5,2,3,3,4,4	5,2,4,4,7,7	0.0,3.7267946754582226E-4,2.2948601690586656E-4,4.265444295015186E-4,2.699304895941168E-4,2.3189843341242522E-4	84.07000732421875,105.43836975097656,102.7303695678711,101.11727905273438,98.20731353759766,98.20731353759766	2963.json
3	1	0	0.0060240705497562885	127.94110107421875	5378.json
3,3,3,3	1,1,1,1	0,0,0,0	0.7130101323127747,0.8310595154762268,0.8422710299491882,0.8685406446456909	130.07347106933594,130.07347106933594,130.07347106933594,130.07347106933594	229.json
4	1	0	0.2903743088245392	123.46312713623047	2582.json
14,16,20,19,19,19,17	3,3,4,4,4,4,4	2,2,4,4,4,4,4	4.0723267011344433E-4,3.890399821102619E-4,1.7878248763736337E-4,2.8545496752485633E-4,2.5306851603090763E-4,2.672563132364303E-4,0.0010919551132246852	93.6550064086914,90.98262786865234,86.22059631347656,87.40081787109375,87.27046203613281,87.32958221435547,90.34258270263672	3734.json
1,3	1,1	0,0	0.8949710130691528,0.48267388343811035	151.39474487304688,133.59722900390625	4076.json
