SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
3,17,17,17,26,26,20,34,80,72,87,89,83,89,83,89,87,72,80,34,20,89,90,89,89,94,93,93,95,95,23,19,19,20,24,25,25,26,27,26,28,26,26,29,30,31,30,31,32,29,28,28,22	1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0	0.03023570030927658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	128.0337677001953,87.97853088378906,87.76127624511719,87.88093566894531,79.42132568359375,79.42132568359375,84.18685150146484,72.76823425292969,51.607234954833984,53.57570266723633,49.18452453613281,48.70595169067383,50.26459503173828,48.70595169067383,50.26459503173828,48.70595169067383,49.18452453613281,53.57570266723633,51.607234954833984,72.76823425292969,84.18685150146484,48.7611083984375,48.51929473876953,48.754947662353516,48.739585876464844,47.31282424926758,47.51895523071289,47.55018997192383,47.0198974609375,47.0198974609375,81.94466400146484,86.4764404296875,86.45362854003906,85.54756164550781,81.11727905273438,80.35641479492188,80.6372299194336,79.81741333007812,78.9301986694336,79.81741333007812,78.18923950195312,79.8798599243164,79.8798599243164,77.70405578613281,77.05720520019531,76.42989349365234,77.07484436035156,76.38725280761719,75.79644775390625,77.74030303955078,78.3900375366211,78.4086685180664,83.29389953613281	21248.json
9,14,14,15,15,10,15,17,17,12,11,26,17,15,21,24,22,26,35,39,44,50,54	2,3,3,3,3,2,3,3,3,3,3,6,3,3,5,6,5,6,9,10,12,13,14	0,2,2,2,2,2,4,4,4,2,2,5,4,4,6,8,6,8,12,14,16,20,20	0.10300389677286148,0.004479496274143457,0.004524528980255127,7.571149035356939E-4,6.121493061073124E-4,0.0283852219581604,0.0012166335945948958,2.6010838337242603E-4,2.331651485292241E-4,0.05224047601222992,0.1510951817035675,5.320609780028462E-4,0.2899850308895111,0.33319494128227234,0.008613756857812405,0.003807497676461935,0.004659649915993214,6.612721481360495E-4,0.0,0.0,0.0,0.0,0.0	104.19505310058594,93.84956359863281,93.84956359863281,91.9981918334961,91.8563232421875,101.88968658447266,93.52688598632812,90.83629608154297,90.71746063232422,97.30290985107422,99.06838989257812,81.02210998535156,91.02503967285156,94.0755615234375,85.04367065429688,82.17259979248047,84.05178833007812,80.13035583496094,73.55111694335938,71.0327377319336,68.16353607177734,65.19524383544922,63.232154846191406	12537.json
7	3	7	0.40724655985832214	111.50201416015625	16945.json
3	1	0	0.832352340221405	131.1385955810547	3482.json
3,3,3	1,1,1	0,0,0	0.21732386946678162,0.20507359504699707,0.08550350368022919	129.05665588378906,129.05665588378906,128.1388702392578	12830.json
3	1	0	0.0020340178161859512	127.8512954711914	15413.json
3	1	0	0.8228686451911926	133.18099975585938	12848.json
49,51,51,17,17,17,19,24,28,28,28,28	9,9,9,1,1,1,1,1,2,2,2,2	15,15,15,0,0,0,0,0,3,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	64.1176528930664,62.74192428588867,62.73456573486328,88.08763122558594,88.08763122558594,88.08763122558594,85.72026062011719,80.63036346435547,77.19731140136719,77.14913940429688,77.14913940429688,77.13526916503906	14088.json
2,2,2,6,2	1,1,1,2,1	0,0,0,2,0	0.6508128643035889,0.6508128643035889,0.6508128643035889,0.7380343079566956,0.6508128643035889	142.4026641845703,142.4026641845703,142.4026641845703,115.97023010253906,142.4026641845703	12905.json
3	1	0	0.5279194116592407	130.59072875976562	2744.json
5,10,8,8,7,5,5,5	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	113.74434661865234,98.33781433105469,103.20270538330078,103.40541076660156,106.3671875,112.28787231445312,112.0407485961914,112.0407485961914	3630.json
3	1	0	0.6852058172225952	132.79563903808594	1080.json
7,9,9,9,9,9,9	2,3,3,3,3,3,3	4,6,6,8,8,8,8	0.3137979805469513,0.18004924058914185,0.18259677290916443,0.06478685140609741,0.06378868967294693,0.06378868967294693,0.06378868967294693	112.60784912109375,106.3943862915039,106.3943862915039,105.6158218383789,105.46395874023438,105.46395874023438,105.46395874023438	22253.json
8,8,8	2,2,2	2,2,2	0.23019778728485107,0.23019778728485107,0.5260158777236938	108.5920639038086,108.5920639038086,109.62400817871094	16269.json
6,6	1,1	0,0	0.04538164660334587,0.08507740497589111	116.71211242675781,116.8047866821289	19917.json
4	1	0	0.0	118.92639923095703	1166.json
7,7,7,3	2,2,2,1	0,0,0,0	0.5672568678855896,0.5672568678855896,0.5672568678855896,0.27062299847602844	113.80858612060547,113.80858612060547,113.80858612060547,131.1385955810547	12869.json
3	1	0	0.03177465870976448	130.99049377441406	9300.json
12,17	3,4	5,7	0.001541613251902163,0.0	97.63021087646484,89.75390625	17939.json
3,3,3	1,1,1	0,0,0	0.7012138962745667,0.7012138962745667,0.6892720460891724	130.05470275878906,130.05470275878906,130.05470275878906	1381.json
87,89,89,89	22,23,23,23	26,27,27,27	0.0,0.0,0.0,0.0	49.86293029785156,49.20112228393555,49.176334381103516,49.15168380737305	12096.json
6,6	2,2	2,2	0.23231638967990875,0.23231638967990875	113.73401641845703,113.73401641845703	6452.json
14,14	6,6	7,7	0.05172714963555336,0.048090022057294846	93.71038818359375,93.77405548095703	15114.json
5,5	2,2	0,0	0.0038201557472348213,0.0031921768095344305	117.36647033691406,117.36647033691406	4683.json
3,3,3,3,3,3,3,13,5,22,22,23,23,24,24,27,27,28,29,29,3	1,1,1,1,1,1,1,2,1,3,3,3,3,3,3,4,4,4,4,4,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0	0.07771610468626022,0.33053991198539734,0.13197214901447296,0.002815729472786188,0.002815729472786188,0.06049393117427826,0.11129875481128693,0.026720255613327026,0.9695870876312256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045074183493852615	129.2428436279297,129.81976318359375,128.0600128173828,126.7169418334961,126.7169418334961,128.50894165039062,131.91592407226562,97.50802612304688,120.43379974365234,83.14867401123047,83.14867401123047,82.19439697265625,82.12364959716797,81.03948974609375,81.12464904785156,78.59735107421875,78.66585540771484,77.93287658691406,77.08656311035156,77.10660552978516,128.60531616210938	8887.json
