SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
5	2	4	0.4040577709674835	116.28157043457031	31726.json
5,5	1,1	0,0	0.9419448375701904,0.9419448375701904	121.91352844238281,121.91352844238281	1926.json
3	1	0	0.8893774747848511	132.43687438964844	34097.json
6,6,6	2,2,2	3,3,3	0.0015770760364830494,0.0015274062752723694,0.0015274062752723694	111.52424621582031,111.52424621582031,111.52424621582031	21948.json
8,3,3,3	2,1,1,1	4,0,0,0	0.33904504776000977,0.3533916175365448,0.3533916175365448,0.3533916175365448	108.80433654785156,131.1535186767578,131.1535186767578,131.1535186767578	27954.json
16,16,16,16,16,13	3,3,3,3,3,3	5,5,5,5,5,5	0.29552239179611206,0.29552239179611206,0.30643582344055176,0.30643582344055176,0.30643582344055176,0.7492839097976685	91.74811553955078,91.74811553955078,91.74811553955078,91.74811553955078,91.74811553955078,95.71719360351562	28737.json
3,3,3	1,1,1	0,0,0	0.40204188227653503,0.40204188227653503,0.40204188227653503	132.9956512451172,132.9956512451172,132.9956512451172	28824.json
3	1	0	0.6211162209510803	129.81976318359375	24846.json
19,26,26,26,25	5,6,6,6,6	9,11,11,11,11	0.1593385636806488,0.14758434891700745,0.14758434891700745,0.14758434891700745,0.11701247841119766	88.45938873291016,82.20410919189453,82.20410919189453,82.20410919189453,82.7391128540039	16406.json
6	2	2	0.4228125214576721	115.25157928466797	34586.json
7	2	3	0.6887438893318176	110.83819580078125	19954.json
18	4	8	0.07583004981279373	90.84757995605469	5530.json
64,64,64,64,66	12,12,12,12,12	16,16,16,16,16	0.0,0.0,0.0,0.0,0.0	60.083045959472656,60.083045959472656,60.083045959472656,60.0713996887207,59.46622848510742	31908.json
25,26,26,26,26,18,18,18,18,14,18	1,3,3,3,3,3,3,3,3,1,1	0,3,3,3,3,3,3,3,3,0,0	0.0,2.428664593026042E-4,2.5032146368175745E-4,2.5032146368175745E-4,2.5032146368175745E-4,1.5809973410796374E-4,1.2723100371658802E-4,1.2723100371658802E-4,1.2723100371658802E-4,4.5229127863422036E-4,3.4232399775646627E-4	82.63977813720703,81.62671661376953,81.62671661376953,81.62671661376953,81.62671661376953,87.58385467529297,87.27790832519531,87.27790832519531,87.27790832519531,92.46194458007812,88.09063720703125	27315.json
13	3	6	0.8344748616218567	98.35713195800781	14296.json
13,13,13,14	4,4,4,4	4,4,4,4	0.10705798864364624,0.10705798864364624,0.10705798864364624,0.10998353362083435	97.96918487548828,97.96918487548828,97.96918487548828,96.49844360351562	15430.json
3	1	0	2.763022785075009E-4	133.59722900390625	6513.json
34,34,35,35,35	5,5,5,5,5	10,10,10,10,10	0.0,0.0,0.0,0.0,0.0	73.968017578125,74.05783081054688,73.49530792236328,73.49530792236328,73.49530792236328	28152.json
27,34,34,20,26,30,30,30,30,21	5,7,7,4,6,6,6,6,6,4	10,14,14,6,10,10,10,10,10,6	0.003077377565205097,7.64658092521131E-4,7.64658092521131E-4,0.19097311794757843,0.022345978766679764,0.00413112249225378,0.004013287369161844,0.004013287369161844,0.004013287369161844,0.02875378541648388	80.39869689941406,75.24407196044922,75.24407196044922,88.07696533203125,82.23053741455078,79.1451644897461,79.1451644897461,79.1451644897461,79.1451644897461,87.03553771972656	29175.json
4	1	0	0.24986496567726135	127.09062194824219	24929.json
5,6,6,6,7,7	1,1,1,1,1,1	0,0,0,0,0,0	0.2107982188463211,0.2956899106502533,0.2956899106502533,0.2956899106502533,0.13517135381698608,0.9128685593605042	120.43379974365234,116.80848693847656,116.80848693847656,116.80848693847656,112.42162322998047,111.95084381103516	20894.json
3	1	0	0.9595726132392883	129.81280517578125	6428.json
11	3	2	0.27513599395751953	102.13055419921875	29751.json
4,4,4	1,1,1	0,0,0	0.14092808961868286,0.14092808961868286,0.14092808961868286	125.02987670898438,125.02987670898438,125.02987670898438	19772.json
11,11	3,3	4,4	0.048308294266462326,0.048308294266462326	99.68640899658203,99.68640899658203	6262.json
3	1	0	0.9190484285354614	129.05665588378906	14915.json
4,4,4	1,1,1	0,0,0	0.16154666244983673,0.16154666244983673,0.16154666244983673	125.02987670898438,125.02987670898438,125.02987670898438	20315.json
40,40,40,40	9,9,9,9	15,15,15,15	0.005016962066292763,0.005016962066292763,0.005016962066292763,0.00400543212890625	71.77128601074219,71.77128601074219,71.77128601074219,71.6823959350586	18574.json
3	1	0	0.9350401163101196	132.4454345703125	6348.json
13	2	2	0.685664176940918	96.79430389404297	3198.json
1,1,1	1,1,1	0,0,0	0.9945846199989319,0.9945846199989319,0.9945846199989319	150.40780639648438,150.40780639648438,150.40780639648438	18357.json
12,12,12,13,13	3,3,3,3,3	2,2,2,2,2	0.5196664333343506,0.5196664333343506,0.5196664333343506,0.3021728992462158,0.3021728992462158	101.13784790039062,101.13784790039062,101.13784790039062,99.33346557617188,99.33346557617188	3663.json
