SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
24,18,18,18,18,18,18,22,24,23,23	4,3,3,3,3,3,3,4,5,5,5	7,4,4,4,4,4,4,8,7,6,6	0.002942540915682912,0.03992551937699318,0.03992551937699318,0.03992551937699318,0.03995951637625694,0.040796104818582535,0.04164943844079971,0.014370026998221874,0.09622688591480255,0.09195449948310852,0.08363210409879684	85.51647186279297,88.46485900878906,88.46485900878906,88.46485900878906,88.46485900878906,88.36597442626953,88.30056762695312,83.80602264404297,83.42330169677734,84.3189926147461,84.1886978149414	2795.json
3,3,3	1,1,1	0,0,0	0.9344409704208374,0.9344409704208374,0.9344409704208374	133.59722900390625,133.59722900390625,133.59722900390625	234.json
3,3,3	1,1,1	0,0,0	0.36829593777656555,0.36829593777656555,0.36829593777656555	133.59722900390625,133.59722900390625,133.59722900390625	1043.json
16,16,16,16,16,16,16,16,16,16,16	5,5,5,5,5,5,5,5,5,5,5	9,9,9,9,9,9,9,9,9,9,9	0.0011889837915077806,8.192767854779959E-4,3.8957668584771454E-4,3.8957668584771454E-4,3.8957668584771454E-4,3.5761078470386565E-4,3.4262496046721935E-4,2.626056084409356E-4,2.7673563454300165E-4,2.5041596381925046E-4,4.416471638251096E-4	91.80116271972656,91.53975677490234,91.12103271484375,91.12103271484375,91.12103271484375,91.00215148925781,90.9623031616211,90.92276000976562,91.00530242919922,91.00530242919922,91.1235580444336	2716.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.7029338479042053,0.3247203826904297,0.3247203826904297,0.3247203826904297,0.3294524550437927	129.93223571777344,128.8092498779297,128.8092498779297,128.8092498779297,128.50894165039062	777.json
12,12,12,12,12,12,12,9,9,9,7	3,3,3,3,3,3,3,2,2,2,1	5,5,5,5,5,5,5,2,2,2,0	0.007087633945047855,0.0043372828513383865,0.0043372828513383865,0.0043372828513383865,0.0032839407213032246,0.0014217027928680182,0.0014217027928680182,0.0029713751282542944,0.0030505903996527195,0.003131908131763339,7.368494407273829E-4	98.48184204101562,98.04412078857422,98.04412078857422,98.04412078857422,97.83617401123047,97.66751098632812,97.70114135742188,104.77889251708984,104.65693664550781,104.5787353515625,109.28691101074219	102.json
7,8,3	1,1,1	0,0,0	0.0776757225394249,0.09383515268564224,0.005139094777405262	111.95084381103516,109.59934997558594,127.33940887451172	1492.json
7,7,6	2,2,2	3,3,3	0.48794203996658325,0.5011342763900757,0.4779345393180847	112.27425384521484,111.93604278564453,114.77149963378906	428.json
3,3,3,3	1,1,1,1	0,0,0,0	1.741506566759199E-4,1.741506566759199E-4,1.741506566759199E-4,2.084549778373912E-4	127.46943664550781,127.46943664550781,127.46943664550781,126.9131088256836	1951.json
3,3	1,1	0,0	0.13706551492214203,0.13962841033935547	129.34671020507812,129.0215301513672	1916.json
7,6,6,6,6,9	2,2,2,2,2,3	2,2,2,2,2,3	0.7709805369377136,0.785037636756897,0.785037636756897,0.785037636756897,0.781970202922821,0.4616963267326355	113.73445129394531,116.6823501586914,116.6823501586914,116.6823501586914,116.4021987915039,107.3419189453125	541.json
9,9,9,9,12,12,12,12	2,2,2,2,3,3,3,3	2,2,2,2,4,4,4,4	0.0027152113616466522,0.0026574733201414347,0.0026574733201414347,0.0026574733201414347,0.0055145681835711,0.0055145681835711,0.005930175073444843,0.006149507127702236	103.96589660644531,104.1487808227539,104.1487808227539,104.1487808227539,98.47686004638672,98.47686004638672,98.19625091552734,98.08196258544922	2821.json
7,7,7,7,7,7	4,4,4,4,4,2	6,6,6,6,6,2	0.4971759021282196,0.4971759021282196,0.4971759021282196,0.5141366124153137,0.4765262007713318,0.5247901678085327	110.06295013427734,110.06295013427734,110.06295013427734,109.80303955078125,110.6539077758789,112.25244903564453	820.json
3,3,3,3	1,1,1,1	0,0,0,0	0.06149062141776085,0.06149062141776085,0.06149062141776085,0.06401946395635605	128.91311645507812,128.91311645507812,128.91311645507812,128.4090576171875	604.json
3,3,3	1,1,1	0,0,0	0.2507210373878479,0.2507210373878479,0.2507210373878479	133.59722900390625,133.59722900390625,133.59722900390625	1069.json
12,12,12,12,12,12,8,8,8	3,3,3,3,3,3,1,1,1	4,4,4,4,4,4,0,0,0	0.0032341897021979094,0.0025766706094145775,0.0025766706094145775,0.0025766706094145775,0.0027714790776371956,0.0016732580261304975,0.0,0.0,0.0	98.47140502929688,98.17405700683594,98.17405700683594,98.17405700683594,97.90449523925781,97.79145050048828,105.2997055053711,105.1431655883789,105.16677856445312	138.json
3,3,3	1,1,1	0,0,0	0.8954967856407166,0.8954967856407166,0.8954967856407166	133.59722900390625,133.59722900390625,133.59722900390625	194.json
