MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
2851.json	lombok.eclipse.handlers.singulars.EclipseGuavaSingularizer.makeGuavaTypeName(java.lang.String, boolean)	2860.json,2854.json	lombok.eclipse.handlers.singulars.EclipseGuavaSingularizer.createConstructBuilderVarIfNeeded(lombok.eclipse.handlers.EclipseSingularsRecipes.SingularData, lombok.eclipse.EclipseNode),lombok.eclipse.handlers.singulars.EclipseGuavaSingularizer.generateFields(lombok.eclipse.handlers.EclipseSingularsRecipes.SingularData, lombok.eclipse.EclipseNode)	false	1268
716.json	lombok.installer.Installer.Anonymous-4b374621-ad55-40c1-be65-c63f853c4c72.run()	noCall	noCall	true	3295
602.json	lombok.core.ClassLiteral.getClassName()	2154.json	lombok.core.AnnotationValues.guessToType(java.lang.Object, java.lang.Class<?>, lombok.core.AnnotationValues.AnnotationValue, int)	true	86
2892.json	lombok.eclipse.handlers.singulars.EclipseJavaUtilSingularizer.createJavaUtilSetMapInitialCapacitySwitchStatements(lombok.eclipse.handlers.EclipseSingularsRecipes.SingularData, lombok.eclipse.EclipseNode, boolean, java.lang.String, java.lang.String, java.lang.String, java.lang.String)	noCall	noCall	false	1273
1135.json	lombok.javac.handlers.HandleFieldDefaults.setFieldDefaultsForField(lombok.javac.JavacNode, lombok.AccessLevel, boolean)	1134.json	lombok.javac.handlers.HandleFieldDefaults.generateFieldDefaultsForType(lombok.javac.JavacNode, lombok.javac.JavacNode, lombok.AccessLevel, boolean, boolean)	true	2165
152.json	lombok.delombok.FormatPreferenceScanner.scan(lombok.delombok.FormatPreferences, char[])	noCall	noCall	true	1672
1602.json	lombok.javac.apt.Javac6BaseFileObjectWrapper.equals(java.lang.Object)	noCall	noCall	true	2738
1678.json	lombok.javac.apt.MessagerDiagnosticsReceiver.addWarning(java.lang.String)	noCall	noCall	true	2900
1978.json	lombok.eclipse.handlers.HandleLog.LoggingFramework.getLoggerTypeName()	noCall	noCall	false	2804
1557.json	lombok.javac.JavacResolution.EnvFinder.visitTree(com.sun.tools.javac.tree.JCTree)	noCall	noCall	true	2801
1302.json	lombok.javac.handlers.JavacHandlerUtil.genJavaLangTypeRef(lombok.javac.JavacNode, int, java.lang.String...)	noCall	noCall	true	1672
65.json	com.sun.tools.javac.parser.Scanner.endPos()	490.json,476.json	lombok.javac.java6.CommentCollectingScanner.processComment(com.sun.tools.javac.parser.Scanner.CommentStyle),lombok.javac.java7.CommentCollectingScanner.processComment(com.sun.tools.javac.parser.Scanner.CommentStyle)	true	2522
459.json	lombok.javac.java9.CommentCollectingParser.parseCompilationUnit()	noCall	noCall	true	218
2080.json	lombok.core.debug.DebugSnapshot.shortToString()	2081.json	lombok.core.debug.DebugSnapshot.toString()	false	2550
1861.json	lombok.core.configuration.NullCheckExceptionType.toExceptionMessage(java.lang.String)	noCall	noCall	false	1506
628.json	lombok.core.LombokImmutableList.copyOf(java.lang.Iterable<? extends T>)	noCall	noCall	true	1934
2162.json	lombok.core.AnnotationValues.setWarning(java.lang.String, java.lang.String)	2131.json	lombok.core.handlers.InclusionExclusionUtils.handleIncludeExcludeMarking(java.lang.Class<I>, java.lang.String, java.lang.Class<? extends java.lang.annotation.Annotation>, lombok.core.LombokNode<A, L, N>, lombok.core.AnnotationValues<?>, lombok.core.LombokNode<A, L, N>, boolean)	true	3272
268.json	lombok.delombok.Delombok.setDiagnosticsListener(javax.tools.DiagnosticListener<javax.tools.JavaFileObject>)	noCall	noCall	true	2913
1721.json	lombok.javac.HandlerLibrary.javacError(java.lang.String)	noCall	noCall	true	3311
3071.json	lombok.eclipse.agent.PatchExtensionMethod.PostponedInvalidMethodError.getMethod(java.lang.String, java.lang.Class<?>...)	noCall	noCall	true	1100
1247.json	lombok.javac.handlers.JavacHandlerUtil.deleteAnnotationIfNeccessary(lombok.javac.JavacNode, java.lang.Class<? extends java.lang.annotation.Annotation>)	1120.json,1228.json,null,1215.json,null,1119.json,1232.json	lombok.javac.handlers.HandleSuperBuilder.getSingularData(lombok.javac.JavacNode),lombok.javac.handlers.JavacHandlerUtil.hasAnnotation(java.lang.Class<? extends java.lang.annotation.Annotation>, lombok.javac.JavacNode, boolean),lombok.javac.handlers.HandleLog.processAnnotation(lombok.javac.handlers.HandleLog.LoggingFramework, lombok.core.AnnotationValues<?>, lombok.javac.JavacNode, java.lang.String),lombok.javac.handlers.HandleBuilder.getSingularData(lombok.javac.JavacNode),lombok.javac.handlers.HandleBuilder.addObtainVia(lombok.javac.handlers.HandleBuilder.BuilderFieldData, lombok.javac.JavacNode),lombok.javac.handlers.HandleSuperBuilder.addObtainVia(lombok.javac.handlers.HandleSuperBuilder.BuilderFieldData, lombok.javac.JavacNode),lombok.javac.handlers.JavacHandlerUtil.findAnnotation(java.lang.Class<? extends java.lang.annotation.Annotation>, lombok.javac.JavacNode, boolean)	false	3148
2939.json	lombok.eclipse.handlers.HandleSynchronized.createLockField(lombok.core.AnnotationValues<lombok.Synchronized>, lombok.eclipse.EclipseNode, boolean, boolean)	noCall	noCall	true	2578
2895.json	lombok.eclipse.handlers.singulars.EclipseJavaUtilSetSingularizer.getSupportedTypes()	noCall	noCall	true	1273
3012.json	lombok.launch.PatchFixesHider.Util.sneakyThrow0(java.lang.Throwable)	3011.json	lombok.launch.PatchFixesHider.Util.sneakyThrow(java.lang.Throwable)	true	1267
1123.json	lombok.javac.handlers.HandleSuperBuilder.findInnerClass(lombok.javac.JavacNode, java.lang.String)	noCall	noCall	false	97
457.json	lombok.javac.Javac.sneakyThrow(java.lang.Throwable)	510.json,452.json,509.json,601.json,null,null,600.json,1779.json,512.json,439.json,null,null,508.json,450.json,520.json,1780.json	lombok.javac.JavacTreeMaker.TypeTag.typeTag(com.sun.tools.javac.code.Type),lombok.javac.Javac.storeEnd(com.sun.tools.javac.tree.JCTree, int, com.sun.tools.javac.tree.JCTree.JCCompilationUnit),lombok.javac.JavacTreeMaker.TypeTag.typeTag(com.sun.tools.javac.tree.JCTree),lombok.javac.CommentCatcher.setInCompiler(com.sun.tools.javac.main.JavaCompiler, com.sun.tools.javac.util.Context),lombok.javac.JavacTreeMaker.SchroedingerType.getFieldCached(java.util.concurrent.ConcurrentMap<java.lang.String, java.lang.Object>, java.lang.String, java.lang.String),lombok.javac.Javac.getMethod(java.lang.Class<?>, java.lang.String, java.lang.String...),lombok.javac.CommentCatcher.registerCommentsCollectingScannerFactory(com.sun.tools.javac.util.Context),lombok.javac.JavacAST.getBody(com.sun.tools.javac.tree.JCTree),lombok.javac.JavacTreeMaker.TreeTag.treeTag(com.sun.tools.javac.tree.JCTree),lombok.javac.Javac.getDocComments(com.sun.tools.javac.tree.JCTree.JCCompilationUnit),lombok.javac.Javac.getMethod(java.lang.Class<?>, java.lang.String, java.lang.Class<?>...),lombok.javac.Javac.createVoidType(com.sun.tools.javac.code.Symtab, lombok.javac.JavacTreeMaker.TypeTag),lombok.javac.JavacTreeMaker.SchroedingerType.getFieldCached(java.util.concurrent.ConcurrentMap<java.lang.Class<?>, java.lang.reflect.Field>, java.lang.Object, java.lang.String),lombok.javac.Javac.initDocComments(com.sun.tools.javac.tree.JCTree.JCCompilationUnit),lombok.javac.JavacTreeMaker.invokeAny(java.lang.Object, lombok.javac.JavacTreeMaker.MethodId<J>, java.lang.Object...),lombok.javac.JavacAST.getBodyMethod(java.lang.Class<?>)	false	1850
2280.json	lombok.core.Main.go()	2271.json	lombok.core.Main.main(java.lang.String[])	true	3146
2847.json	lombok.eclipse.handlers.singulars.EclipseGuavaSetListSingularizer.getAddMethodName()	noCall	noCall	true	1268
2997.json	lombok.eclipse.HandlerLibrary.getPriorities()	2979.json	lombok.eclipse.TransformEclipseAST.go()	true	2161
472.json	lombok.javac.java7.CommentCollectingParser.parseCompilationUnit()	noCall	noCall	true	2445
1648.json	lombok.javac.apt.InterceptingJavaFileObject.getName()	noCall	noCall	true	2900
2222.json	lombok.core.AnnotationProcessor.init(javax.annotation.processing.ProcessingEnvironment)	noCall	noCall	true	3122
625.json	lombok.core.LombokImmutableList.of(T, T, T, T, T)	noCall	noCall	true	1934
3100.json	lombok.eclipse.agent.PatchExtensionMethodCompletionProposalPortal.getJavaCompletionProposals(java.lang.Object[], java.lang.Object)	noCall	noCall	true	2220
738.json	lombok.installer.InstallerGUI.Anonymous-22ad29db-eb84-4e9c-88c2-bee2fdad5cd3.accept(java.io.File)	noCall	noCall	true	3294
3164.json	lombok.eclipse.agent.PatchExtensionMethodPortal.invalidMethod(java.lang.Object, java.lang.Object, java.lang.Object)	noCall	noCall	true	2214
2260.json	lombok.core.runtimeDependencies.CreateLombokRuntimeApp.getAppDescription()	noCall	noCall	true	3146
