MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
60.json	com.facebook.FacebookSdk.getApplicationId()	null,889.json,null,null,891.json,1160.json,null,143.json,3293.json,546.json,3059.json,1159.json,3294.json,null,2115.json,865.json,1409.json,1166.json,null,1432.json,1619.json,888.json,3057.json,null,2502.json,2190.json,2114.json,552.json,3058.json,3228.json,3824.json,551.json	com.facebook.appevents.internal.AutomaticAnalyticsLogger.logPurchaseSubs(com.facebook.appevents.internal.SubscriptionType, java.lang.String, java.lang.String),com.facebook.appevents.internal.AutomaticAnalyticsLogger.logActivityTimeSpentEvent(java.lang.String, long),com.facebook.appevents.codeless.CodelessMatcher.ViewMatcher.run(),com.facebook.CustomTabMainActivity.getRedirectUrl(),com.facebook.appevents.internal.AutomaticAnalyticsLogger.isImplicitPurchaseLoggingEnabled(),com.facebook.appevents.codeless.ViewIndexer.schedule(),com.facebook.appevents.FacebookUninstallTracker.updateDeviceToken(java.lang.String),com.facebook.internal.Validate.hasAppID(),com.facebook.login.LoginManager.createLoginRequest(java.util.Collection<java.lang.String>),com.facebook.internal.FetchedAppSettingsManager.loadAppSettingsAsync(),com.facebook.login.DeviceAuthDialog.completeLogin(java.lang.String, com.facebook.internal.Utility.PermissionsPair, java.lang.String, java.util.Date, java.util.Date),com.facebook.appevents.codeless.ViewIndexer.Anonymous-95f386f9-db64-4189-a1c0-8940397fb5c8.run(),com.facebook.login.LoginManager.createReauthorizeRequest(),com.facebook.internal.FetchedAppGateKeepersManager.loadAppGateKeepersAsync(),com.facebook.internal.DialogPresenter.getProtocolVersionForNativeDialog(com.facebook.internal.DialogFeature),com.facebook.appevents.internal.ActivityLifecycleTracker.getSessionTimeoutInSeconds(),com.facebook.GraphRequest.addCommonParameters(),com.facebook.appevents.codeless.ViewIndexer.sendToServer(java.lang.String, java.lang.String),com.facebook.appevents.FacebookUninstallTracker.sendToServer(java.lang.String),com.facebook.GraphRequest.getBatchAppId(com.facebook.GraphRequestBatch),com.facebook.FacebookRequestError.getErrorClassification(),com.facebook.appevents.internal.AutomaticAnalyticsLogger.logActivateAppEvent(),com.facebook.login.DeviceAuthDialog.Anonymous-223c8487-31ba-4497-9da4-77ea1c31c38c.onCompleted(com.facebook.GraphResponse),com.facebook.appevents.FacebookUninstallTracker.Anonymous-8400c920-802a-4efd-8ece-c6da49d0184d.run(),com.facebook.share.internal.LikeActionController.refreshStatusViaService(),com.facebook.devicerequests.internal.DeviceRequestsHelper.isAvailable(),com.facebook.internal.DialogPresenter.getDialogWebFallbackUri(com.facebook.internal.DialogFeature),com.facebook.internal.FetchedAppSettingsManager.queryAppSettings(java.lang.String, boolean),com.facebook.login.DeviceAuthDialog.onSuccess(java.lang.String, java.lang.Long, java.lang.Long),com.facebook.login.WebLoginMethodHandler.getRedirectUri(),com.example.rps.MainActivity.handleNativeLink(),com.facebook.internal.FetchedAppSettingsManager.pollCallbacks()	false	2254
1339.json	com.facebook.ProgressOutputStream.Anonymous-7abd6639-a8de-4f93-b0b2-db66cbf2991e.run()	noCall	noCall	true	1747
346.json	com.facebook.internal.NativeAppCallAttachmentStore.getAttachmentsDirectoryForCall(java.util.UUID, boolean)	347.json,342.json	com.facebook.internal.NativeAppCallAttachmentStore.getAttachmentFile(java.util.UUID, java.lang.String, boolean),com.facebook.internal.NativeAppCallAttachmentStore.cleanupAttachmentsForCall(java.util.UUID)	true	1931
2019.json	com.facebook.internal.FacebookDialogBase.show(CONTENT)	noCall	noCall	true	1349
1392.json	com.facebook.GraphRequest.toHttpConnection(com.facebook.GraphRequestBatch)	1396.json,1391.json	com.facebook.GraphRequest.executeBatchAndWait(com.facebook.GraphRequestBatch),com.facebook.GraphRequest.toHttpConnection(java.util.Collection<com.facebook.GraphRequest>)	true	2378
137.json	com.facebook.internal.Validate.containsNoNullOrEmpty(java.util.Collection<java.lang.String>, java.lang.String)	noCall	noCall	true	1931
332.json	com.facebook.internal.FileLruCache.ModifiedFile.getModified()	304.json,333.json	com.facebook.internal.FileLruCache.trim(),com.facebook.internal.FileLruCache.ModifiedFile.compareTo(com.facebook.internal.FileLruCache.ModifiedFile)	true	2342
3120.json	com.facebook.login.LoginClient.addLoggingExtra(java.lang.String, java.lang.String, boolean)	3122.json	com.facebook.login.LoginClient.tryCurrentHandler()	true	1931
930.json	com.facebook.appevents.AppEventQueue.persistToDisk()	1074.json	com.facebook.appevents.AppEventsLogger.onContextStop()	true	927
1869.json	com.facebook.share.widget.AppInviteDialog.show(com.facebook.share.model.AppInviteContent)	noCall	noCall	true	389
