MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
2355.json	org.hibernate.search.query.dsl.impl.ConnectedMultiFieldsTermQueryBuilder.createRemoteQuery(org.hibernate.search.query.dsl.impl.FieldContext, java.lang.String)	2349.json	org.hibernate.search.query.dsl.impl.ConnectedMultiFieldsTermQueryBuilder.createQuery(org.hibernate.search.query.dsl.impl.FieldContext, org.hibernate.search.bridge.spi.ConversionContext)	true	112
4356.json	org.hibernate.search.filter.FilterKey.getImpl()	noCall	noCall	true	3292
5892.json	org.hibernate.search.elasticsearch.impl.ElasticsearchIndexWorkVisitor.visitDeleteWork(org.hibernate.search.backend.DeleteLuceneWork, java.lang.Void)	noCall	noCall	true	254
1514.json	org.hibernate.search.backend.impl.lucene.SharedIndexCommitPolicy.getIndexWriter()	noCall	noCall	true	662
1134.json	org.hibernate.search.engine.impl.nullencoding.NumericFloatNullCodec.createNullMatchingQuery(java.lang.String)	noCall	noCall	true	346
2964.json	org.hibernate.search.cfg.spi.impl.DefaultIdUniquenessResolver.areIdsUniqueForClasses(java.lang.Class<?>, java.lang.Class<?>)	noCall	noCall	true	570
6764.json	org.hibernate.search.impl.FullTextSessionImpl.getSearchIntegrator()	noCall	noCall	true	3292
816.json	org.hibernate.search.engine.impl.ReflectionReplacingSearchConfiguration.getClassMappings()	noCall	noCall	true	1659
2542.json	org.hibernate.search.query.dsl.impl.MoreLikeThisQueryContext.setBoostTerms(boolean)	2441.json	org.hibernate.search.query.dsl.impl.ConnectedMoreLikeThisContext.favorSignificantTermsWithFactor(float)	true	898
6625.json	org.hibernate.search.query.hibernate.impl.FullTextQueryImpl.setFetchSize(int)	noCall	noCall	true	3292
365.json	org.hibernate.search.engine.spi.AbstractDocumentBuilder.getMappedSubclasses()	1908.json	org.hibernate.search.query.engine.impl.LuceneHSQuery.buildSearcher(org.hibernate.search.engine.integration.impl.ExtendedSearchIntegrator, java.lang.Boolean)	true	3292
2465.json	org.hibernate.search.query.dsl.impl.FieldContext.getFieldBridge()	2349.json	org.hibernate.search.query.dsl.impl.ConnectedMultiFieldsTermQueryBuilder.createQuery(org.hibernate.search.query.dsl.impl.FieldContext, org.hibernate.search.bridge.spi.ConversionContext)	false	1061
3184.json	org.hibernate.search.store.optimization.impl.IncrementalOptimizerStrategy.needOptimization()	3186.json	org.hibernate.search.store.optimization.impl.IncrementalOptimizerStrategy.optimize(org.hibernate.search.store.Workspace)	true	3292
3616.json	org.hibernate.search.exception.impl.LogErrorHandler.appendFailureMessage(java.lang.StringBuilder, org.hibernate.search.backend.LuceneWork)	3615.json	org.hibernate.search.exception.impl.LogErrorHandler.handle(org.hibernate.search.exception.ErrorContext)	true	2329
399.json	org.hibernate.search.engine.metadata.impl.ParseContext.incrementLevel()	noCall	noCall	false	1158
2875.json	org.hibernate.search.cfg.ClassBridgeMapping.indexed()	noCall	noCall	true	2446
3601.json	org.hibernate.search.engine.impl.DynamicShardingStrategy.getIndexManagersFromShards(java.util.Set<java.lang.String>)	3600.json,null,3597.json	org.hibernate.search.engine.impl.DynamicShardingStrategy.getIndexManagersForQuery(org.hibernate.search.filter.FullTextFilterImplementor[]),org.hibernate.search.engine.impl.DynamicShardingStrategy.getIndexManagersForDeletion(java.lang.Class<?>, java.io.Serializable, java.lang.String),org.hibernate.search.engine.impl.DynamicShardingStrategy.getIndexManagersForAllShards()	true	1059
3472.json	org.hibernate.search.indexes.serialization.impl.LuceneWorkHydrator.getStore(org.hibernate.search.indexes.serialization.spi.SerializableStore)	3448.json,3449.json,3447.json,3446.json	org.hibernate.search.indexes.serialization.impl.LuceneWorkHydrator.addFloatNumericField(float, java.lang.String, int, org.hibernate.search.indexes.serialization.spi.SerializableStore, boolean, float, boolean, boolean),org.hibernate.search.indexes.serialization.impl.LuceneWorkHydrator.addDoubleNumericField(double, java.lang.String, int, org.hibernate.search.indexes.serialization.spi.SerializableStore, boolean, float, boolean, boolean),org.hibernate.search.indexes.serialization.impl.LuceneWorkHydrator.addLongNumericField(long, java.lang.String, int, org.hibernate.search.indexes.serialization.spi.SerializableStore, boolean, float, boolean, boolean),org.hibernate.search.indexes.serialization.impl.LuceneWorkHydrator.addIntNumericField(int, java.lang.String, int, org.hibernate.search.indexes.serialization.spi.SerializableStore, boolean, float, boolean, boolean)	true	1836
1310.json	org.hibernate.search.backend.DeleteLuceneWork.toString()	noCall	noCall	true	2336
3857.json	org.hibernate.search.util.impl.ConcurrentReferenceHashMap.HashEntry.newKeyReference(K, org.hibernate.search.util.impl.ConcurrentReferenceHashMap.ReferenceType, java.lang.ref.ReferenceQueue<java.lang.Object>)	noCall	noCall	true	780
5426.json	org.hibernate.search.elasticsearch.impl.ElasticsearchHSQueryImpl.extractFacetResults()	noCall	noCall	true	176
3079.json	org.hibernate.search.cfg.SearchMapping.addAnalyzerDef(java.util.Map<java.lang.String, java.lang.Object>)	noCall	noCall	true	2707
1071.json	org.hibernate.search.engine.impl.MappingModelMetadataProvider.MappingModelAnnotationReader.createAnalyzerDiscriminator(org.hibernate.search.cfg.PropertyDescriptor)	1067.json	org.hibernate.search.engine.impl.MappingModelMetadataProvider.MappingModelAnnotationReader.initAnnotations()	true	2492
1348.json	org.hibernate.search.backend.impl.lucene.AsyncWorkProcessor.submit(java.util.List<org.hibernate.search.backend.LuceneWork>, org.hibernate.search.backend.IndexingMonitor)	noCall	noCall	true	630
3296.json	org.hibernate.search.indexes.spi.DirectoryBasedIndexManager.destroy()	noCall	noCall	true	1849
4307.json	org.hibernate.search.metadata.impl.NumericFieldDescriptorImpl.precisionStep()	noCall	noCall	true	1158
3788.json	org.hibernate.search.util.impl.ClassLoaderHelper.checkClassType(java.lang.Class<?>, java.lang.String)	3786.json,3783.json	org.hibernate.search.util.impl.ClassLoaderHelper.instanceFromClass(java.lang.Class<T>, java.lang.Class<?>, java.lang.String, java.util.Map<java.lang.String, java.lang.String>),org.hibernate.search.util.impl.ClassLoaderHelper.instanceFromClass(java.lang.Class<T>, java.lang.Class<?>, java.lang.String)	false	2606
3633.json	org.hibernate.search.exception.impl.ErrorContextBuilder.allWorkToBeDone(java.lang.Iterable<org.hibernate.search.backend.LuceneWork>)	1496.json,null,null,1497.json	org.hibernate.search.backend.impl.lucene.LuceneBackendQueueTask.handleException(java.lang.Exception),org.hibernate.search.elasticsearch.client.impl.SingleRequest.execute(),org.hibernate.search.elasticsearch.client.impl.BulkRequest.execute(),org.hibernate.search.backend.impl.lucene.LuceneBackendQueueTask.applyUpdates()	true	2329
2799.json	org.hibernate.search.cfg.CharFilterDefMapping.param(java.lang.String, java.lang.String)	noCall	noCall	true	127
1012.json	org.hibernate.search.engine.impl.MutableSearchFactoryState.setInstanceInitializer(org.hibernate.search.spi.InstanceInitializer)	null	org.hibernate.search.spi.SearchIntegratorBuilder.createCleanFactoryState(org.hibernate.search.cfg.spi.SearchConfiguration, org.hibernate.search.spi.SearchIntegratorBuilder.BuildContext)	true	1737
6806.json	org.hibernate.search.impl.SearchFactoryImpl.unwrap(java.lang.Class<T>)	noCall	noCall	true	637
320.json	org.hibernate.search.engine.spi.ContainedInRecursionContext.isTerminal()	368.json	org.hibernate.search.engine.spi.AbstractDocumentBuilder.appendContainedInWorkForInstance(java.lang.Object, org.hibernate.search.engine.impl.WorkPlan, org.hibernate.search.engine.spi.ContainedInRecursionContext, java.lang.String)	true	239
3140.json	org.hibernate.search.cfg.EntityDescriptor.addSpatial(java.util.Map<java.lang.String, java.lang.Object>)	noCall	noCall	true	1520
2596.json	org.hibernate.search.query.dsl.impl.ConnectedFacetRangeEndContext.createFacetingRequest()	noCall	noCall	true	1984
1375.json	org.hibernate.search.backend.impl.lucene.works.UpdateExtWorkExecutor.checkType(org.hibernate.search.backend.LuceneWork)	1374.json	org.hibernate.search.backend.impl.lucene.works.UpdateExtWorkExecutor.performWork(org.hibernate.search.backend.LuceneWork, org.hibernate.search.backend.impl.lucene.IndexWriterDelegate, org.hibernate.search.backend.IndexingMonitor)	true	1625
1641.json	org.hibernate.search.spi.SearchIntegratorBuilder.buildSearchIntegrator()	742.json,null	org.hibernate.search.engine.impl.MutableSearchFactory.addClasses(java.lang.Class<?>...),org.hibernate.search.spi.SearchFactoryBuilder.buildSearchFactory()	false	619
3576.json	org.hibernate.search.indexes.impl.PropertiesParseHelper.extractFlushInterval(java.lang.String, java.util.Properties)	noCall	noCall	true	662
315.json	org.hibernate.search.engine.spi.SearchMappingHelper.validateMappingFactoryDefinition(int, java.lang.Class<?>)	313.json	org.hibernate.search.engine.spi.SearchMappingHelper.extractSearchMapping(org.hibernate.search.cfg.spi.SearchConfiguration)	true	2445
4336.json	org.hibernate.search.metadata.impl.IndexedTypeDescriptorForUnindexedType.getIndexedProperties()	noCall	noCall	true	1135
383.json	org.hibernate.search.engine.metadata.impl.ParseContext.getIndexManagerType()	554.json	org.hibernate.search.engine.metadata.impl.AnnotationMetadataProvider.bindFieldAnnotation(java.lang.String, org.hibernate.search.annotations.Field, org.hibernate.search.engine.metadata.impl.NumericFieldsConfiguration, java.util.Set<org.hibernate.search.annotations.Facet>, org.hibernate.search.engine.metadata.impl.TypeMetadata.Builder, org.hibernate.search.engine.metadata.impl.PropertyMetadata.Builder, org.hibernate.search.engine.impl.ConfigContext, org.hibernate.search.engine.metadata.impl.ParseContext)	false	119
5422.json	org.hibernate.search.elasticsearch.impl.ElasticsearchHSQueryImpl.IndexSearcher.getEffectiveFilter(com.google.gson.JsonArray)	noCall	noCall	true	185
51.json	org.hibernate.search.bridge.builtin.LongBridge.stringToObject(java.lang.String)	noCall	noCall	true	3292
2471.json	org.hibernate.search.query.dsl.impl.FacetingRequestImpl.getSort()	noCall	noCall	true	1991
627.json	org.hibernate.search.engine.metadata.impl.DocumentFieldMetadata.isSpatial()	4325.json,5858.json	org.hibernate.search.metadata.impl.FieldDescriptorImpl.determineFieldType(org.hibernate.search.engine.metadata.impl.DocumentFieldMetadata),org.hibernate.search.elasticsearch.impl.ElasticsearchIndexManager.createIndexMappings()	false	381
87.json	org.hibernate.search.bridge.builtin.NumericFieldBridge.objectToString(java.lang.Object)	noCall	noCall	true	2118
1504.json	org.hibernate.search.backend.impl.lucene.MultiWriteDrainableLinkedList.add(T)	1424.json,null	org.hibernate.search.backend.impl.lucene.SyncWorkProcessor.submit(java.util.List<org.hibernate.search.backend.LuceneWork>, org.hibernate.search.backend.IndexingMonitor),org.hibernate.search.elasticsearch.client.impl.BackendRequestProcessor.AsyncBackendRequestProcessor.submitRequest(org.hibernate.search.elasticsearch.client.impl.BackendRequest<?>)	true	637
3510.json	org.hibernate.search.indexes.impl.SharingBufferReaderProvider.stop()	noCall	noCall	true	1849
3462.json	org.hibernate.search.indexes.serialization.impl.LuceneWorkHydrator.addFlagsAttribute(int)	noCall	noCall	true	1822
2421.json	org.hibernate.search.query.dsl.impl.ConnectedPhraseContext.onField(java.lang.String)	noCall	noCall	true	2275
6483.json	org.hibernate.search.backend.impl.EventSourceTransactionContext.getService(java.lang.Class<T>)	noCall	noCall	true	1871
2440.json	org.hibernate.search.query.dsl.impl.ConnectedMoreLikeThisContext.excludeEntityUsedForComparison()	noCall	noCall	true	898
358.json	org.hibernate.search.engine.spi.DocumentBuilderIndexedEntity.isIdMatchingJpaId()	noCall	noCall	true	2067
3247.json	org.hibernate.search.store.impl.FSDirectoryProvider.stop()	noCall	noCall	true	3011
1189.json	org.hibernate.search.engine.service.impl.StandardServiceManager.ServiceWrapper.stopVirtual()	1182.json	org.hibernate.search.engine.service.impl.StandardServiceManager.releaseService(java.lang.Class<S>)	true	1520
2023.json	org.hibernate.search.query.engine.impl.TimeoutManagerImpl.getTimeoutLeft(long)	2022.json,2021.json	org.hibernate.search.query.engine.impl.TimeoutManagerImpl.getTimeoutLeftInSeconds(),org.hibernate.search.query.engine.impl.TimeoutManagerImpl.getTimeoutLeftInMilliseconds()	true	2122
1588.json	org.hibernate.search.backend.impl.WorkQueue.clear()	1552.json	org.hibernate.search.backend.impl.BatchedQueueingProcessor.cancelWorks(org.hibernate.search.backend.impl.WorkQueue)	true	3292
1105.json	org.hibernate.search.engine.impl.DefaultMutableEntityIndexBinding.getDocumentBuilder()	noCall	noCall	true	1849
6761.json	org.hibernate.search.impl.FullTextSessionImpl.index(T)	noCall	noCall	true	3292
1416.json	org.hibernate.search.backend.impl.lucene.SharedIndexWorkspaceImpl.getIndexWriter()	noCall	noCall	true	1829
2835.json	org.hibernate.search.cfg.PropertyLongitudeMapping.field()	noCall	noCall	true	1409
2306.json	org.hibernate.search.query.dsl.impl.RangeFacetRequest.findFacetRangeIndex(java.lang.String)	2304.json	org.hibernate.search.query.dsl.impl.RangeFacetRequest.createFacet(java.lang.String, int)	true	1984
2487.json	org.hibernate.search.query.dsl.impl.FieldsContext.ignoreAnalyzer()	2558.json,2366.json	org.hibernate.search.query.dsl.impl.ConnectedTermMatchingContext.ignoreAnalyzer(),org.hibernate.search.query.dsl.impl.ConnectedMoreLikeThisMatchingContext.ignoreAnalyzer()	true	899
1948.json	org.hibernate.search.query.engine.impl.FieldNameCollector.FieldCollection.getNumericFieldNames()	2072.json	org.hibernate.search.query.engine.impl.LazyQueryState.validateQuery()	true	623
3134.json	org.hibernate.search.cfg.EntityDescriptor.addClassBridgeDef(java.util.Map<java.lang.String, java.lang.Object>)	noCall	noCall	true	2446
450.json	org.hibernate.search.engine.metadata.impl.TypeMetadata.keyPropertyMetadata(java.util.Set<org.hibernate.search.engine.metadata.impl.PropertyMetadata>)	noCall	noCall	true	1158
3945.json	org.hibernate.search.util.impl.Executors.newFixedThreadPool(int, java.lang.String)	6417.json,6416.json,6437.json,6400.json	org.hibernate.search.batchindexing.impl.BatchIndexingWorkspace.startTransformationToLuceneWork(org.hibernate.search.batchindexing.impl.BatchTransactionalContext, org.hibernate.search.exception.ErrorHandler),org.hibernate.search.batchindexing.impl.BatchIndexingWorkspace.startProducingPrimaryKeys(org.hibernate.search.batchindexing.impl.BatchTransactionalContext, org.hibernate.search.exception.ErrorHandler),org.hibernate.search.batchindexing.impl.MassIndexerImpl.start(),org.hibernate.search.batchindexing.impl.BatchCoordinator.doBatchWork(org.hibernate.search.backend.spi.BatchBackend)	true	2651
1336.json	org.hibernate.search.backend.impl.LocalBackendQueueProcessor.initialize(java.util.Properties, org.hibernate.search.spi.WorkerBuildContext, org.hibernate.search.indexes.spi.IndexManager)	noCall	noCall	true	94
6283.json	org.hibernate.search.indexes.serialization.avro.impl.AvroSerializer.addDelete(java.lang.String)	noCall	noCall	true	1836
1301.json	org.hibernate.search.backend.spi.SingularTermDeletionQuery.fromString(java.lang.String[])	1579.json	org.hibernate.search.backend.impl.DeleteByQuerySupport.fromString(int, java.lang.String[])	true	520
2315.json	org.hibernate.search.query.dsl.impl.RemoteMatchQuery.Builder.analyzerReference(org.hibernate.search.analyzer.impl.RemoteAnalyzerReference)	2355.json	org.hibernate.search.query.dsl.impl.ConnectedMultiFieldsTermQueryBuilder.createRemoteQuery(org.hibernate.search.query.dsl.impl.FieldContext, java.lang.String)	true	112
6428.json	org.hibernate.search.batchindexing.impl.MassIndexerImpl.threadsToLoadObjects(int)	noCall	noCall	true	2651
5869.json	org.hibernate.search.elasticsearch.impl.ElasticsearchIndexManager.performStreamOperation(org.hibernate.search.backend.LuceneWork, org.hibernate.search.backend.IndexingMonitor, boolean)	5872.json	org.hibernate.search.elasticsearch.impl.ElasticsearchIndexManager.optimize()	true	254
1374.json	org.hibernate.search.backend.impl.lucene.works.UpdateExtWorkExecutor.performWork(org.hibernate.search.backend.LuceneWork, org.hibernate.search.backend.impl.lucene.IndexWriterDelegate, org.hibernate.search.backend.IndexingMonitor)	noCall	noCall	true	1625
1401.json	org.hibernate.search.backend.impl.lucene.ScheduledCommitPolicy.onFlush()	noCall	noCall	true	662
1810.json	org.hibernate.search.stat.impl.StatisticsImpl.objectLoadExecuted(long, long)	noCall	noCall	true	2192
2556.json	org.hibernate.search.query.dsl.impl.ConnectedTermMatchingContext.andField(java.lang.String)	noCall	noCall	true	2312
6631.json	org.hibernate.search.query.hibernate.impl.FullTextQueryImpl.getLockOptions()	noCall	noCall	true	2417
458.json	org.hibernate.search.engine.metadata.impl.TypeMetadata.Builder.boost(float)	noCall	noCall	true	1158
2269.json	org.hibernate.search.query.dsl.impl.FacetBuildingContext.getRangeType()	2267.json	org.hibernate.search.query.dsl.impl.FacetBuildingContext.makeRange()	true	1982
7108.json	org.hibernate.search.backend.jgroups.impl.ClassloaderMessageListener.getState(java.io.OutputStream)	noCall	noCall	true	1522
1188.json	org.hibernate.search.engine.service.impl.StandardServiceManager.ServiceWrapper.startVirtual()	1180.json	org.hibernate.search.engine.service.impl.StandardServiceManager.requestService(java.lang.Class<S>)	true	1520
