MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
3465.json	com.sun.jna.contrib.demo.BalloonTipManager.MouseEar.mousePressed(java.awt.event.MouseEvent)	noCall	noCall	true	4058
442.json	com.sun.jna.platform.win32.Advapi32Util.getAccountBySid(java.lang.String, com.sun.jna.platform.win32.WinNT.PSID)	441.json,450.json	com.sun.jna.platform.win32.Advapi32Util.getAccountBySid(com.sun.jna.platform.win32.WinNT.PSID),com.sun.jna.platform.win32.Advapi32Util.getAccountBySid(java.lang.String, java.lang.String)	true	3068
1901.json	com.sun.jna.platform.win32.COM.COMLateBindingObject.invokeNoReply(java.lang.String, com.sun.jna.platform.win32.COM.IDispatch, com.sun.jna.platform.win32.Variant.VARIANT, com.sun.jna.platform.win32.Variant.VARIANT)	noCall	noCall	true	1888
128.json	com.sun.jna.platform.WindowUtils.W32WindowUtils.storeAlpha(java.awt.Window, byte)	null,null	com.sun.jna.platform.WindowUtils.W32WindowUtils.Anonymous-332dae85-6f94-49fe-9f17-ec34e5ff107c.run(),com.sun.jna.platform.WindowUtils.W32WindowUtils.setWindowAlpha(java.awt.Window, float)	true	4079
3735.json	com.sun.jna.win32.W32APIFunctionMapper.getFunctionName(com.sun.jna.NativeLibrary, java.lang.reflect.Method)	noCall	noCall	true	4058
541.json	com.sun.jna.platform.win32.Advapi32Util.encryptFile(java.io.File)	noCall	noCall	true	1270
22.json	com.sun.jna.contrib.demo.AlphaMaskDemo.getHwnd(java.awt.Window)	23.json	com.sun.jna.contrib.demo.AlphaMaskDemo.updateW32(boolean, boolean)	true	3973
3955.json	com.sun.jna.MethodParameterContext.getMethod()	noCall	noCall	true	3973
2150.json	com.sun.jna.platform.win32.COM.tlb.TlbImp.getPackageName()	2148.json,2156.json	com.sun.jna.platform.win32.COM.tlb.TlbImp.startCOM2Java(),com.sun.jna.platform.win32.COM.tlb.TlbImp.createCOMCoClass(int, java.lang.String, com.sun.jna.platform.win32.COM.TypeLibUtil, java.lang.String)	true	1868
3568.json	com.sun.jna.Native.registered(java.lang.Class<?>)	noCall	noCall	true	1046
258.json	com.sun.jna.platform.win32.WinBase.SYSTEMTIME.toCalendar()	null	com.sun.jna.platform.win32.WinBase.SYSTEMTIME.toString()	true	998
3981.json	com.sun.jna.Memory.align(int)	noCall	noCall	true	3876
1059.json	com.sun.jna.platform.win32.DdemlUtil.DdemlException.getErrorCode()	noCall	noCall	true	692
1905.json	com.sun.jna.platform.win32.COM.COMLateBindingObject.invokeNoReply(java.lang.String)	3445.json,3433.json	com.sun.jna.platform.win32.COM.office.MSExcel.quit(),com.sun.jna.platform.win32.COM.office.MSWord.quit()	true	1950
2000.json	com.sun.jna.platform.win32.COM.TypeInfoUtil.getTypeAttr()	2168.json	com.sun.jna.platform.win32.COM.tlb.imp.TlbCoClass.createFunctions(com.sun.jna.platform.win32.COM.TypeInfoUtil, java.lang.String)	true	1947
3879.json	com.sun.jna.Pointer.Opaque.read(long, long[], int, int)	noCall	noCall	true	3910
337.json	com.sun.jna.platform.win32.Kernel32Util.getLastErrorMessage()	noCall	noCall	true	1223
3851.json	com.sun.jna.Pointer.getStringArray(long, int, java.lang.String)	3848.json,3846.json,3847.json,3850.json	com.sun.jna.Pointer.getStringArray(long, int),com.sun.jna.Pointer.getStringArray(long),com.sun.jna.Pointer.getStringArray(long, java.lang.String),com.sun.jna.Pointer.getWideStringArray(long, int)	true	3629
3071.json	com.sun.jna.platform.dnd.DragHandler.dragEnter(java.awt.dnd.DragSourceDragEvent)	noCall	noCall	true	4091
2465.json	com.sun.jna.platform.win32.COM.Moniker.BindToObject()	noCall	noCall	true	1223
3912.json	com.sun.jna.Pointer.Opaque.setMemory(long, long, byte)	noCall	noCall	true	1883
