MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
375.json	org.springframework.boot.autoconfigure.jms.artemis.ArtemisProperties.Embedded.setClusterPassword(java.lang.String)	noCall	noCall	true	959
8208.json	org.springframework.boot.actuate.flyway.FlywayEndpoint.ContextFlywayBeans.getParentId()	noCall	noCall	true	150
5788.json	org.springframework.boot.web.embedded.undertow.UndertowWebServer.getPortFromListener(java.lang.Object)	5786.json	org.springframework.boot.web.embedded.undertow.UndertowWebServer.getConfiguredPorts()	true	342
4137.json	org.springframework.boot.actuate.autoconfigure.condition.ConditionsReportEndpoint.ContextConditionEvaluation.getParentId()	noCall	noCall	true	150
8690.json	org.springframework.boot.cli.compiler.grape.DependencyResolutionContext.getIdentifier(java.lang.String, java.lang.String)	noCall	noCall	true	1001
5726.json	org.springframework.boot.web.embedded.tomcat.TomcatReactiveWebServerFactory.getContextLifecycleListeners()	noCall	noCall	true	90
8252.json	org.springframework.boot.actuate.management.HeapDumpWebEndpoint.TemporaryFileSystemResource.isFile()	noCall	noCall	true	174
9420.json	org.springframework.boot.devtools.restart.classloader.RestartClassLoader.createFileUrl(java.lang.String, org.springframework.boot.devtools.restart.classloader.ClassLoaderFile)	9415.json,9417.json	org.springframework.boot.devtools.restart.classloader.RestartClassLoader.getResources(java.lang.String),org.springframework.boot.devtools.restart.classloader.RestartClassLoader.findResource(java.lang.String)	true	976
6922.json	org.springframework.boot.context.properties.source.ConfigurationPropertyNameAliases.addAliases(java.lang.String, java.lang.String...)	2807.json,6346.json	org.springframework.boot.autoconfigure.jdbc.XADataSourceAutoConfiguration.getBinderSource(org.springframework.boot.autoconfigure.jdbc.DataSourceProperties),org.springframework.boot.jdbc.DataSourceBuilder.bind(javax.sql.DataSource)	true	280
10193.json	org.springframework.boot.loader.tools.Repackager.getBackupFile()	null,null	org.springframework.boot.loader.tools.Repackager.repackage(java.io.File, org.springframework.boot.loader.tools.Libraries, org.springframework.boot.loader.tools.LaunchScript),org.springframework.boot.maven.RepackageMojo.repackage()	true	702
6985.json	org.springframework.boot.context.properties.bind.Bindable.getBoxedType()	7128.json,null	org.springframework.boot.context.properties.bind.validation.ValidationBindHandler.validate(org.springframework.boot.context.properties.source.ConfigurationPropertyName, org.springframework.boot.context.properties.bind.Bindable<?>, java.lang.Object),org.springframework.boot.context.properties.bind.validation.ValidationBindHandler.shouldValidate(org.springframework.boot.context.properties.bind.Bindable<?>)	true	280
3113.json	org.springframework.boot.autoconfigure.data.rest.RepositoryRestProperties.setLimitParamName(java.lang.String)	noCall	noCall	true	854
615.json	org.springframework.boot.autoconfigure.h2.H2ConsoleProperties.setEnabled(boolean)	noCall	noCall	true	911
8441.json	org.springframework.boot.actuate.session.SessionsEndpoint.SessionsReport.getSessions()	noCall	noCall	true	134
9650.json	org.springframework.boot.devtools.autoconfigure.DevToolsProperties.Restart.getTriggerFile()	9689.json,9566.json	org.springframework.boot.devtools.autoconfigure.LocalDevToolsAutoConfiguration.RestartConfiguration.newFileSystemWatcher(),org.springframework.boot.devtools.remote.client.RemoteClientConfiguration.RemoteRestartClientConfiguration.newFileSystemWatcher()	true	969
1705.json	org.springframework.boot.autoconfigure.kafka.KafkaProperties.Jaas.isEnabled()	noCall	noCall	true	263
7784.json	org.springframework.boot.actuate.endpoint.jmx.annotation.DiscoveredJmxOperation.getParameters(org.springframework.boot.actuate.endpoint.invoke.reflect.OperationMethod)	noCall	noCall	true	182
9654.json	org.springframework.boot.devtools.autoconfigure.DevToolsProperties.Restart.isLogConditionEvaluationDelta()	noCall	noCall	true	69
870.json	org.springframework.boot.autoconfigure.flyway.FlywayAutoConfiguration.LocationResolver.getDatabaseDriver()	null	org.springframework.boot.autoconfigure.flyway.FlywayAutoConfiguration.LocationResolver.resolveLocations(java.lang.String[])	true	75
6737.json	org.springframework.boot.context.properties.source.ConfigurationPropertyName.getLastElement(org.springframework.boot.context.properties.source.ConfigurationPropertyName.Form)	7088.json	org.springframework.boot.context.properties.bind.IndexedElementsBinder.getKnownIndexedChildren(org.springframework.boot.context.properties.source.ConfigurationPropertySource, org.springframework.boot.context.properties.source.ConfigurationPropertyName)	false	268
9645.json	org.springframework.boot.devtools.autoconfigure.DevToolsProperties.Restart.setAdditionalExclude(java.lang.String)	noCall	noCall	true	897
414.json	org.springframework.boot.autoconfigure.jms.activemq.ActiveMQProperties.setCloseTimeout(java.time.Duration)	noCall	noCall	true	192
268.json	org.springframework.boot.autoconfigure.ldap.LdapProperties.setUrls(java.lang.String[])	noCall	noCall	true	392
7790.json	org.springframework.boot.actuate.endpoint.jmx.annotation.DiscoveredJmxOperation.getParameters()	noCall	noCall	true	125
1348.json	org.springframework.boot.autoconfigure.cache.CaffeineCacheConfiguration.cacheManager()	noCall	noCall	true	703
8042.json	org.springframework.boot.actuate.endpoint.web.annotation.RequestPredicateFactory.getPath(java.lang.String, java.lang.String, java.lang.reflect.Method)	8040.json	org.springframework.boot.actuate.endpoint.web.annotation.RequestPredicateFactory.getRequestPredicate(java.lang.String, java.lang.String, org.springframework.boot.actuate.endpoint.annotation.DiscoveredOperationMethod)	true	13
3013.json	org.springframework.boot.autoconfigure.data.couchbase.SpringBootCouchbaseReactiveDataConfiguration.getDefaultConsistency()	noCall	noCall	true	79
3885.json	org.springframework.boot.actuate.autoconfigure.endpoint.ExposeExcludePropertyEndpointFilter.asSet(java.util.Collection<java.lang.String>)	noCall	noCall	true	78
7763.json	org.springframework.boot.actuate.endpoint.jmx.JacksonJmxOperationResponseMapper.mapResponseType(java.lang.Class<?>)	noCall	noCall	true	174
6984.json	org.springframework.boot.context.properties.bind.Bindable.getType()	7022.json,7063.json,7065.json,7023.json,7081.json,6970.json,6951.json,7018.json,null,7091.json	org.springframework.boot.context.properties.bind.Binder.bindBean(org.springframework.boot.context.properties.source.ConfigurationPropertyName, org.springframework.boot.context.properties.bind.Bindable<?>, org.springframework.boot.context.properties.bind.BindHandler, org.springframework.boot.context.properties.bind.Binder.Context, boolean),org.springframework.boot.context.properties.bind.MapBinder.bindAggregate(org.springframework.boot.context.properties.source.ConfigurationPropertyName, org.springframework.boot.context.properties.bind.Bindable<?>, org.springframework.boot.context.properties.bind.AggregateElementBinder),org.springframework.boot.context.properties.bind.MapBinder.resolveTarget(org.springframework.boot.context.properties.bind.Bindable<?>),org.springframework.boot.context.properties.bind.Binder.isUnbindableBean(org.springframework.boot.context.properties.source.ConfigurationPropertyName, org.springframework.boot.context.properties.bind.Bindable<?>, org.springframework.boot.context.properties.bind.Binder.Context),org.springframework.boot.context.properties.bind.BindException.buildMessage(org.springframework.boot.context.properties.source.ConfigurationPropertyName, org.springframework.boot.context.properties.bind.Bindable<?>),org.springframework.boot.context.properties.bind.JavaBeanBinder.Bean.get(org.springframework.boot.context.properties.bind.Bindable<T>, boolean),org.springframework.boot.context.properties.bind.CollectionBinder.bindAggregate(org.springframework.boot.context.properties.source.ConfigurationPropertyName, org.springframework.boot.context.properties.bind.Bindable<?>, org.springframework.boot.context.properties.bind.AggregateElementBinder),org.springframework.boot.context.properties.bind.Binder.getAggregateBinder(org.springframework.boot.context.properties.bind.Bindable<?>, org.springframework.boot.context.properties.bind.Binder.Context),org.springframework.boot.context.properties.bind.ResolvableTypeDescriptor.forBindable(org.springframework.boot.context.properties.bind.Bindable<?>),org.springframework.boot.context.properties.bind.ArrayBinder.bindAggregate(org.springframework.boot.context.properties.source.ConfigurationPropertyName, org.springframework.boot.context.properties.bind.Bindable<?>, org.springframework.boot.context.properties.bind.AggregateElementBinder)	true	280
