Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
2097	4,4,4	3,3,3	4,4,4	0,0,0	0,1082,1391	0,1,1	0,2,2	0,28,17	0,0,0	3018.json
3437	60,60,60,63,132,136,138,112,112,145,148,148,148,142,142,143,144,141,144,133	41,41,41,42,91,95,95,76,76,102,104,104,104,100,100,100,101,98,101,90	55,55,55,56,115,119,119,96,96,127,130,130,130,125,125,126,126,123,126,115	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1168,1169,1244,1327,1528,1529,1531,1629,2031,2032,2039,2368,2368,2468,2570,3402,3404,3405,3405	0,1,6,10,69,4,2,29,4,51,17,2,3,9,0,3,65,0,3,5	0,2,12,17,69,4,4,84,8,69,31,4,6,24,0,6,129,3,3,21	0,90,54,288,3361,284,296,1297,44,1792,159,13,47,825,0,484,565,148,148,675	0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0	7264.json
2958	9,9,9	6,6,6	8,8,8	0,0,0	0,2,1411	0,3,1	0,6,2	0,38,7	0,0,0	6424.json
3423	6,6,6,4,6,5,5,8,5,5	5,5,5,3,4,4,4,6,4,4	6,6,6,4,5,5,5,8,5,5	0,0,0,0,0,0,0,0,0,0	0,8,468,470,623,1013,1262,2507,2509,3079	0,4,4,1,4,1,2,5,2,1	0,8,8,4,6,2,4,7,7,2	0,114,41,26,76,47,18,74,74,1	0,0,0,0,0,0,0,0,0,1	12525.json
2168	7,10,10,11,7	6,8,8,9,6	7,10,10,11,7	0,0,0,0,0	0,41,43,55,97	0,3,1,3,1	0,3,2,5,6	0,72,4,75,103	0,0,0,0,0	14222.json
3437	4	3	4	0	0	0	0	0	0	10617.json
1034	4,4,4,4	3,3,3,3	4,4,4,4	0,0,0,0	0,0,188,209	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,1	9089.json
3437	4	3	4	1	0	0	0	0	0	4080.json
3437	9,9,9	6,6,6	8,8,8	0,0,0	0,631,637	0,1,2	0,2,4	0,3,2	0,0,0	10055.json
167	20,20	4,4	13,13	0,0	0,149	0,0	0,0	0,0	0,0	284.json
3437	4,4	3,3	4,4	1,1	0,1216	0,0	0,0	0,0	0,0	5979.json
1824	3	2	3	0	0	0	0	0	0	11080.json
378	7,7,7,7	4,4,4,4	6,6,6,6	0,0,0,0	0,0,56,301	0,0,1,1	0,0,2,2	0,0,2,1	0,0,0,0	5176.json
469	4	3	4	0	0	0	0	0	0	10881.json
508	25,24,24,25,28	20,19,19,20,22	23,22,22,23,26	0,0,0,0,0	0,130,133,263,332	0,7,1,2,5	0,15,2,3,7	0,113,11,76,102	0,1,0,0,1	4160.json
1617	13,12,12,12	10,12,12,12	11,12,12,12	0,0,0,0	0,112,981,1100	0,2,2,2	0,5,4,4	0,39,44,0	0,0,0,0	5914.json
984	4	3	4	1	0	0	0	0	0	8899.json
3181	12,12	9,9	11,11	0,0	0,1062	0,1	0,2	0,14	0,0	6256.json
3437	18,28,6	12,17,5	18,28,6	0,0,0	0,392,471	0,13,3	0,16,28	0,164,337	0,0,0	6961.json
372	16	10	15	0	0	0	0	0	0	5395.json
2129	5,5,5,7,5	4,4,4,4,4	5,5,5,5,5	0,0,0,0,0	0,274,274,533,533	0,2,2,4,2	0,4,4,6,6	0,41,10,154,152	0,0,0,1,0	13536.json
3437	3	3	3	0	0	0	0	0	0	10679.json
3437	5	4	5	0	0	0	0	0	0	8162.json
2077	74,74,74,74,74,65,58	46,46,46,46,46,39,37	58,58,58,58,58,51,47	0,0,0,0,0,0,0	0,137,1097,1098,1099,1426,1600	0,4,5,5,5,1,7	0,8,10,10,10,11,21	0,44,148,0,148,648,340	0,0,0,0,0,0,0	6740.json
3291	7	6	7	0	0	0	0	0	0	2605.json
1926	4,4,7	3,3,5	4,4,6	0,0,0	0,17,793	0,4,3	0,4,3	0,0,109	0,1,0	7161.json
3437	6,10	5,8	6,10	0,0	0,1155	0,4	0,4	0,103	0,0	2870.json
2443	4	3	4	1	0	0	0	0	0	220.json
1715	10,9,9,9	7,7,7,7	9,9,9,9	0,0,0,0	0,67,71,71	0,2,2,2	0,5,4,4	0,14,32,12	0,0,0,0	11315.json
1090	4,4,4	3,3,3	4,4,4	1,1,1	0,56,112	0,0,1	0,0,2	0,0,29	0,0,0	9063.json
3437	4,9,9,7,7,7,7	3,5,5,5,5,5,5	4,7,7,7,7,7,7	1,0,0,0,0,0,0	0,56,64,204,1150,2162,2267	0,6,0,1,0,1,1	0,7,0,4,0,2,2	0,122,0,76,0,32,9	0,1,0,0,0,0,0	7448.json
577	5	4	5	0	0	0	0	0	0	11630.json
580	4	3	4	1	0	0	0	0	0	8280.json
1210	26,26	17,17	23,23	0,0	0,859	0,1	0,2	0,4	0,1	3965.json
3437	4	3	4	1	0	0	0	0	0	307.json
1230	4	3	4	1	0	0	0	0	0	10452.json
3291	6	3	6	0	0	0	0	0	0	2631.json
3207	4	3	4	0	0	0	0	0	0	5160.json
34	4	3	4	1	0	0	0	0	0	2311.json
1965	4,4	3,3	4,4	0,0	0,96	0,0	0,0	0,0	0,0	11857.json
1849	8	6	8	0	0	0	0	0	0	11643.json
706	4	3	4	1	0	0	0	0	0	2326.json
1090	4,4,5,5,5,5	3,3,4,4,4,4	4,4,5,5,5,5	0,0,0,0,0,0	0,56,75,231,244,265	0,0,2,0,1,1	0,0,3,0,2,2	0,0,32,0,12,21	0,0,0,0,0,1	9021.json
2041	6,6	5,5	6,6	0,0	0,11	0,3	0,6	0,22	0,1	14207.json
1855	4	3	4	1	0	0	0	0	0	13444.json
2689	4	3	4	0	0	0	0	0	0	6139.json
1077	12,12,12	9,9,9	10,10,10	0,0,0	0,30,43	0,11,0	0,22,0	0,44,0	0,0,0	9166.json
1798	3	2	3	0	0	0	0	0	0	2826.json
3102	4,4	3,3	4,4	0,0	0,88	0,2	0,4	0,33	0,0	8223.json
706	4	3	4	1	0	0	0	0	0	13338.json
2015	4,7,6,6,6,4	3,5,4,4,4,3	4,6,5,5,5,4	1,0,0,0,0,0	0,41,169,450,1568,2000	0,5,0,1,1,4	0,7,1,2,2,10	0,144,112,12,1,68	0,0,1,0,0,0	12352.json
3437	15,15,12	10,10,8	14,14,11	0,0,0	0,1304,1342	0,1,4	0,2,11	0,40,120	0,1,0	8515.json
3437	16,16,16	10,10,10	14,14,14	0,0,0	0,1216,3311	0,0,1	0,0,2	0,0,25	0,0,0	5971.json
1648	10	4	5	0	0	0	0	0	0	11369.json
2085	4,4	3,3	4,4	0,0	0,1190	0,1	0,2	0,28	0,1	7090.json
2985	4	3	4	1	0	0	0	0	0	4983.json
3437	4	3	4	1	0	0	0	0	0	10080.json
1559	7	6	7	0	0	0	0	0	0	14284.json
2118	5,5,5,4,7,7	2,2,2,2,5,5	3,3,3,3,7,7	0,0,0,0,0,0	0,0,3,4,4,1487	0,0,0,1,5,0	0,0,0,3,7,0	0,0,0,29,100,0	0,0,0,1,0,0	10815.json
