Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
2045	5,5,5	3,3,3	5,5,5	0,0,0	0,195,880	0,0,0	0,0,0	0,0,0	0,0,0	1765.json
1095	5	4	5	0	0	0	0	0	0	2569.json
1095	3	3	3	1	0	0	0	0	0	2748.json
1095	3	3	3	1	0	0	0	0	0	2786.json
2663	3,3,3,3,19,3	3,3,3,3,16,3	3,3,3,3,16,3	1,1,1,1,0,1	0,582,813,1498,2354,2365	0,0,0,0,17,1	0,0,0,0,18,18	0,0,0,0,526,526	0,0,0,0,0,0	44.json
393	3	3	3	0	0	0	0	0	0	1285.json
479	8	8	8	0	0	0	0	0	0	250.json
445	3	3	3	0	0	0	0	0	0	927.json
2081	4,4,4	4,4,4	4,4,4	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,0,0	2872.json
1165	3	3	3	0	0	0	0	0	0	2883.json
2255	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,174,405,1090	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1370.json
3026	5,5,7,5,6,6	5,5,3,5,6,6	5,5,7,5,6,6	0,0,0,0,0,0	0,8,97,210,945,1037	0,5,5,3,6,0	0,10,8,8,11,0	0,81,118,150,187,0	0,1,0,1,0,0	3776.json
2663	20,20	20,20	20,20	0,0	0,674	0,0	0,0	0,0	0,0	3826.json
1697	3,3	3,3	3,3	1,1	0,532	0,0	0,0	0,0	0,0	3338.json
2081	3,3,3,10	3,3,3,9	3,3,3,10	0,0,0,0	0,231,916,1219	0,0,0,10	0,0,0,13	0,0,0,379	0,0,0,0	2228.json
1976	3,3,3	3,3,3	3,3,3	1,1,1	0,126,811	0,0,0	0,0,0	0,0,0	0,0,0	2271.json
120	3	3	3	1	0	0	0	0	0	2140.json
2081	3,3,3	3,3,3	3,3,3	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,0,0	1937.json
284	12	12	12	0	0	0	0	0	0	225.json
2081	11,11,11	7,7,7	11,11,11	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,0,0	2212.json
2479	4,5,5,5	4,4,4,4	4,5,5,5	0,0,0,0	0,397,629,1313	0,3,0,0	0,5,0,0	0,21,0,0	0,0,0,0	1457.json
274	7,7	8,8	7,7	0,0	0,28	0,1	0,2	0,6	0,0	774.json
1631	3,3	3,3	3,3	0,0	0,466	0,0	0,0	0,0	0,0	3079.json
605	3	3	3	0	0	0	0	0	0	3285.json
1787	3,3	3,3	3,3	0,0	0,621	0,0	0,0	0,0	0,0	3226.json
114	14	9	12	0	0	0	0	0	0	1684.json
390	3,3,3	3,3,3	3,3,3	0,0,0	0,26,157	0,1,1	0,2,2	0,12,22	0,0,0	786.json
2926	3,3,3	3,3,3	3,3,3	1,1,1	0,1076,1760	0,0,0	0,0,0	0,0,0	0,0,0	1603.json
1326	3,3	3,3	3,3	0,0	0,161	0,0	0,0	0,0	0,0	3605.json
2081	15,15,15	11,11,11	15,15,15	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,0,0	1975.json
3027	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,946,1177,1862	0,3,0,0	0,6,0,0	0,49,0,0	0,0,0,0	1982.json
2239	7,10,10	3,3,3	7,10,10	0,0,0	0,389,1074	0,0,0	0,0,0	0,37,0	0,0,0	355.json
2239	26,26,26	17,17,17	24,24,24	0,0,0	0,389,1074	0,0,0	0,0,0	0,0,0	0,0,0	359.json
2081	4,4,4	4,4,4	4,4,4	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,0,0	47.json
862	7	7	7	0	0	0	0	0	0	2714.json
3018	13,13,14,14,14,19,19,21,21,21,21,20,20	11,11,12,12,12,17,17,18,16,16,16,17,17	11,11,12,12,12,17,17,18,18,18,18,17,17	0,0,0,0,0,0,0,0,0,0,0,0,0	0,26,36,47,70,99,102,355,937,1168,1853,1897,2240	0,3,1,2,0,5,3,2,18,0,0,3,1	0,6,1,4,0,5,6,2,36,0,0,7,2	0,24,39,54,0,231,30,89,706,188,0,273,31	0,1,0,0,0,1,0,0,0,0,0,0,0	3029.json
2081	3,3,3	3,3,3	3,3,3	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,0,0	1907.json
862	4	4	4	0	0	0	0	0	0	70.json
3019	7,7,7,7,7,7	7,7,7,7,7,7	7,7,7,7,7,7	0,0,0,0,0,0	0,61,71,356,1169,1854	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	564.json
2964	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,301,883,1114,1799	0,0,3,0,0	0,0,6,0,0	0,0,12,0,0	0,0,0,0,0	2630.json
2957	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,9,1107,1792	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	296.json
2663	7,7,7,7,7	7,7,7,7,7	7,7,7,7,7	0,0,0,0,0	0,582,813,1004,1498	0,0,0,7,0	0,0,0,14,0	0,0,0,28,0	0,0,0,0,0	753.json
2081	18,18,18,18	10,10,10,10	15,15,15,15	0,0,0,0	0,231,916,2030	0,0,0,6	0,0,0,17	0,0,0,117	0,0,0,1	1595.json
114	4	3	4	0	0	0	0	0	0	1701.json
1787	6,6	6,6	6,6	0,0	0,621	0,0	0,0	0,0	0,0	3040.json
1326	4,4	4,4	4,4	0,0	0,161	0,0	0,0	0,0	0,0	3602.json
2410	7,10,10,10	7,7,7,7	7,10,10,10	0,0,0,0	0,329,560,1245	0,4,0,0	0,5,0,0	0,37,0,0	0,0,0,0	3474.json
2961	6,6,6,6,6,6	6,6,6,6,6,6	6,6,6,6,6,6	0,0,0,0,0,0	0,13,298,880,1111,1796	0,0,0,2,0,0	0,0,0,4,0,0	0,0,0,48,0,0	0,0,0,0,0,0	578.json
2447	44,49,10,10,10	31,34,10,10,10	39,42,10,10,10	0,0,0,0,0	0,136,458,597,1282	0,5,5,0,0	0,5,57,0,0	0,320,1961,0,0	0,0,0,0,0	115.json
2479	6,6,6,6	6,6,6,6	6,6,6,6	0,0,0,0	0,397,629,1313	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	3464.json
752	4,3	4,3	4,3	0,0	0,66	0,1	0,3	0,43	0,0	1134.json
1165	4	4	4	0	0	0	0	0	0	2044.json
2964	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,301,883,1114,1799	0,2,3,0,0	0,4,6,0,0	0,20,28,0,0	0,0,0,0,0	1601.json
2081	47,47,47	37,37,37	45,45,45	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,0,0	1385.json
274	18	19	18	0	0	0	0	0	0	797.json
3110	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	1,1,1,1,1,1	0,21,136,1029,1260,1945	0,1,1,0,0,0	0,2,2,0,0,0	0,15,9,0,0,0	0,0,0,0,0,0	1366.json
2985	11,10,10,3,3,3,3,3	10,9,9,3,3,3,3,3	11,10,10,3,3,3,3,3	0,0,0,0,0,0,0,0	0,6,37,66,904,1135,1820,2382	0,4,3,1,1,0,0,1	0,9,6,9,2,0,0,2	0,269,3,363,29,0,0,7	0,0,0,1,0,0,0,0	3400.json
3074	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	1,0,0,0,0	0,83,126,1224,1909	0,1,0,0,0	0,2,0,0,0	0,7,0,0,0	0,0,0,0,0	327.json
2552	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,141,470,702,1386	0,1,1,0,0	0,2,2,0,0	0,8,7,0,0	0,0,0,0,0	381.json
2081	10,10,10	6,6,6	10,10,10	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,0,0	2733.json
