Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
4124	4,4,4,5,5,5,4,4,4	3,3,3,3,3,3,4,4,4	4,4,4,5,5,5,4,4,4	0,0,0,0,0,0,0,0,0	0,6,214,470,1144,1385,1398,1607,3597	0,0,0,3,0,2,3,0,0	0,0,0,5,0,4,7,0,0	0,0,0,78,0,47,103,0,0	0,0,0,0,0,0,0,0,0	6514.json
4349	3,3,3	3,3,3	3,3,3	1,1,1	0,1369,3822	0,0,0	0,0,0	0,0,0	0,0,0	32872.json
3826	8,8,8	8,8,8	8,8,8	0,0,0	0,846,3300	0,0,0	0,0,0	0,0,0	0,0,0	16709.json
3826	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,3,846,3300	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	16409.json
2804	19,19,19	17,17,17	17,17,17	0,0,0	0,245,2277	0,1,0	0,2,0	0,16,0	0,0,0	5230.json
3594	3,3,3	3,3,3	3,3,3	1,1,1	0,614,3067	0,0,0	0,0,0	0,0,0	0,0,0	10967.json
3827	3,3,3	3,3,3	3,3,3	1,1,1	0,847,3301	0,0,0	0,0,0	0,0,0	0,0,0	20978.json
436	12	9	8	0	0	0	0	0	0	22928.json
1251	3,3	3,3	3,3	0,0	0,725	0,0	0,0	0,0	0,0	8247.json
3827	3,3,3	3,3,3	3,3,3	1,1,1	0,847,3301	0,0,0	0,0,0	0,0,0	0,0,0	23598.json
431	3,3	3,3	3,3	0,0	0,0	0,0	0,0	0,0	0,0	4161.json
4487	3,3,3	3,3,3	3,3,3	1,1,1	0,1507,3960	0,0,0	0,0,0	0,0,0	0,0,0	18599.json
436	3	3	3	0	0	0	0	0	0	23611.json
4562	3,3,3	3,3,3	3,3,3	1,1,1	0,1582,4036	0,0,0	0,0,0	0,12,0	0,0,0	31969.json
4562	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,87,263,1582,4036	0,2,2,0,0	0,4,4,0,0	0,30,89,0,0	0,0,0,0,0	29440.json
4487	3,3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3,3	0,0,0,0,0,0,0,0,0,0	0,14,113,113,214,562,659,1507,3960,4051	0,1,1,1,1,1,1,0,0,1	0,2,2,2,2,2,2,0,0,2	0,6,4,6,5,5,5,0,0,5	0,0,0,0,0,0,0,0,0,0	18951.json
4475	3,3,3	3,3,3	3,3,3	0,0,0	0,1495,3948	0,0,0	0,0,0	0,0,0	0,0,0	30911.json
417	3	3	3	1	0	0	0	0	0	35484.json
417	3	3	3	1	0	0	0	0	0	18036.json
3594	8,8,8	8,8,8	8,8,8	0,0,0	0,614,3067	0,0,0	0,0,0	0,0,0	0,0,0	9249.json
2726	3,3	3,3	3,3	0,0	0,2200	0,0	0,0	0,0	0,0	9335.json
3594	3,3,3	3,3,3	3,3,3	1,1,1	0,614,3067	0,0,0	0,0,0	0,0,0	0,0,0	11497.json
2539	42,42,42	26,26,26	26,26,26	0,0,0	0,425,2012	0,1,0	0,2,0	0,5,0	0,0,0	2304.json
3594	3,3,3	3,3,3	3,3,3	1,1,1	0,614,3067	0,0,0	0,0,0	0,0,0	0,0,0	8793.json
3966	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,581,986,3439	0,2,0,0	0,4,0,0	0,42,0,0	0,0,0,0	27286.json
1529	8,8	5,5	6,6	0,0	0,1002	0,0	0,0	0,0	0,0	31636.json
3594	7,7,7	7,7,7	7,7,7	0,0,0	0,614,3067	0,0,0	0,0,0	0,0,0	0,0,0	9230.json
3385	3,3,3	3,3,3	3,3,3	1,1,1	0,405,2858	0,0,0	0,0,0	0,0,0	0,0,0	27004.json
3594	7,7,7	7,7,7	7,7,7	0,0,0	0,614,3067	0,0,0	0,0,0	0,0,0	0,0,0	11735.json
4475	3,3,3	3,3,3	3,3,3	1,1,1	0,1495,3948	0,0,0	0,0,0	0,0,0	0,0,0	29160.json
431	15,15	14,14	14,14	0,0	0,0	0,0	0,0	0,0	0,0	3781.json
526	3	3	3	1	0	0	0	0	0	34341.json
417	3	3	3	0	0	0	0	0	0	24783.json
2556	3,3	3,3	3,3	1,1	0,2029	0,0	0,0	0,0	0,0	30673.json
436	3	3	3	0	0	0	0	0	0	17402.json
3827	3,3,3	3,3,3	3,3,3	0,0,0	0,847,3301	0,0,0	0,0,0	0,0,0	0,0,0	21896.json
4562	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,87,1582,4036	0,2,0,0	0,4,0,0	0,39,0,0	0,0,0,0	29606.json
436	3	3	3	1	0	0	0	0	0	23202.json
515	4	3	3	0	0	0	0	0	0	7103.json
4475	3,3,3	3,3,3	3,3,3	0,0,0	0,1495,3948	0,0,0	0,0,0	0,0,0	0,0,0	33559.json
3594	3,3,3	3,3,3	3,3,3	1,1,1	0,614,3067	0,0,0	0,0,0	0,0,0	0,0,0	10900.json
436	3	3	3	0	0	0	0	0	0	24150.json
2726	3,3	3,3	3,3	1,1	0,2200	0,0	0,0	0,0	0,0	13380.json
4475	3,3,3	3,3,3	3,3,3	0,0,0	0,1495,3948	0,0,0	0,0,0	0,0,0	0,0,0	31537.json
3827	6,6,6,6,6,6	6,6,6,6,6,6	6,6,6,6,6,6	0,0,0,0,0,0	0,847,3293,3301,3391,3391	0,0,1,0,1,1	0,0,2,0,2,2	0,0,7,0,7,7	0,0,0,0,0,0	19665.json
2416	52,52	25,25	27,27	0,0	0,1890	0,0	0,0	0,0	0,0	15504.json
3594	3,3,3	3,3,3	3,3,3	1,1,1	0,614,3067	0,0,0	0,0,0	0,0,0	0,0,0	10066.json
417	3	3	3	1	0	0	0	0	0	37143.json
3826	3,3,3	3,3,3	3,3,3	1,1,1	0,846,3300	0,0,0	0,0,0	0,0,0	0,0,0	16071.json
526	3	3	3	1	0	0	0	0	0	25475.json
3593	3,3,3	3,3,3	3,3,3	1,1,1	0,613,3066	0,0,0	0,0,0	0,0,0	0,0,0	22324.json
3827	3,3,3	3,3,3	3,3,3	1,1,1	0,847,3301	0,0,0	0,0,0	0,0,0	0,0,0	21744.json
4475	8,8,8	8,8,8	8,8,8	0,0,0	0,1495,3948	0,0,0	0,0,0	0,0,0	0,0,0	30985.json
