Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
4524	3,3,3	3,3,3	3,3,3	0,0,0	0,710,711	0,0,0	0,0,0	0,0,0	0,0,0	29275.json
3160	3	3	3	1	0	0	0	0	0	20463.json
7230	53,61,61,62,67,96,102,102,102	49,56,56,57,62,89,95,95,95	52,60,60,61,66,94,100,100,100	0,0,0,0,0,0,0,0,0	0,7,24,152,376,405,1813,3415,3416	0,15,6,1,7,76,6,0,0	0,22,12,1,9,123,6,0,0	0,353,72,34,272,1032,159,0,0	0,1,0,0,0,0,0,0,0	18288.json
5854	35,38,38,38,38,58,58,58,44,42	15,15,15,15,15,16,16,16,15,13	33,36,36,36,36,46,46,46,35,31	0,0,0,0,0,0,0,0,0,0	0,278,282,644,668,1092,2039,2040,2234,3864	0,6,0,1,1,54,0,0,18,8	0,9,0,2,2,88,0,0,50,18	0,47,0,22,4,1194,0,0,1024,311	0,0,0,0,0,0,0,0,0,1	26961.json
6159	12,3,3,3	11,3,3,3	11,3,3,3	0,0,0,0	0,1517,2344,2345	0,1,0,0	0,11,0,0	0,211,0,0	0,0,0,0	15625.json
4002	1,1,1,1	3,3,3,3	1,1,1,1	0,0,0,0	0,187,188,2445	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	31768.json
993	3	3	3	1	0	0	0	0	0	5782.json
1974	105,105	69,69	92,92	0,0	0,821	0,2	0,4	0,12	0,0	9386.json
1556	5	5	5	0	0	0	0	0	0	31726.json
3696	5,5	5,5	5,5	0,0	0,482	0,0	0,0	0,0	0,0	1926.json
2655	3	3	3	1	0	0	0	0	0	11181.json
1859	3	3	3	0	0	0	0	0	0	34097.json
5762	8,8,8	6,6,6	6,6,6	0,0,0	0,1947,1948	0,0,0	0,0,0	0,20,0	0,0,0	21948.json
4315	8,3,3,3	8,3,3,3	8,3,3,3	0,0,0,0	0,498,500,501	0,1,0,0	0,7,0,0	0,169,0,0	0,0,0,0	27954.json
1859	3	3	3	1	0	0	0	0	0	34537.json
5798	22,22,22,22,22,20	13,13,13,13,13,13	16,16,16,16,16,13	0,0,0,0,0,0	0,38,1375,1983,1984,5098	0,5,5,0,0,13	0,10,10,0,0,28	0,52,59,0,0,104	0,0,0,0,0,1	28737.json
5575	3,3,3	3,3,3	3,3,3	0,0,0	0,1761,1762	0,0,0	0,0,0	0,0,0	0,0,0	28824.json
7230	4,4,4	3,3,3	3,3,3	1,1,1	0,3415,3416	0,0,0	0,0,0	0,0,0	0,0,0	23815.json
3501	3	3	3	0	0	0	0	0	0	24846.json
6159	25,36,36,36,35	19,25,25,25,25	19,26,26,26,25	0,0,0,0,0	0,1596,2344,2345,4871	0,21,0,0,1	0,31,0,0,2	0,232,0,0,104	0,1,0,0,1	16406.json
1859	6	6	6	0	0	0	0	0	0	34586.json
1972	8	7	7	0	0	0	0	0	0	19954.json
5470	3,3,3	3,3,3	3,3,3	1,1,1	0,1655,1656	0,0,0	0,0,0	0,0,0	0,0,0	25019.json
993	20	15	18	0	0	0	0	0	0	5530.json
4601	82,82,82,82,84	61,61,61,61,64	64,64,64,64,66	0,0,0,0,0	0,786,787,1102,2617	0,0,0,2,63	0,0,0,4,124	0,0,0,12,290	0,0,0,0,0	31908.json
5015	27,34,34,34,34,26,26,26,26,22,26	11,12,12,12,12,12,12,12,12,10,10	25,26,26,26,26,18,18,18,18,14,18	0,0,0,0,0,0,0,0,0,0,0	0,253,399,1200,1201,1498,1499,1801,1948,3025,3900	0,30,4,0,0,12,3,0,0,6,1	0,53,8,0,0,32,6,0,0,16,2	0,588,16,0,0,198,32,0,0,306,194	0,0,0,0,0,0,0,0,0,1,0	27315.json
4587	16	13	13	0	0	0	0	0	0	14296.json
4629	16,16,16,17	12,12,12,13	13,13,13,14	0,0,0,0	0,814,815,2647	0,0,0,9	0,0,0,17	0,0,0,26	0,0,0,0	15430.json
1163	3	3	3	1	0	0	0	0	0	28943.json
1333	3	3	3	0	0	0	0	0	0	6513.json
5509	44,44,45,45,45	34,34,35,35,35	34,34,35,35,35	0,0,0,0,0	0,9,20,1695,1696	0,5,2,0,0	0,10,3,0,0	0,5,30,0,0	0,0,0,0,0	28152.json
877	3	3	3	1	0	0	0	0	0	4016.json
7181	32,39,39,25,32,36,36,36,36,26	26,33,33,19,25,28,28,28,28,20	27,34,34,20,26,30,30,30,30,21	0,0,0,0,0,0,0,0,0,0	0,101,1605,2138,2147,2166,2167,3366,3367,5191	0,9,1,5,7,4,1,0,0,11	0,11,2,24,7,4,2,0,0,32	0,201,1,536,140,118,8,0,0,399	0,0,1,0,1,0,0,0,0,1	29175.json
1983	4	3	4	0	0	0	0	0	0	24929.json
4811	3,3,3	3,3,3	3,3,3	1,1,1	0,997,998	0,0,0	0,0,0	0,0,0	0,0,0	32703.json
993	4	3	3	1	0	0	0	0	0	5586.json
4648	3,3,3	3,3,3	3,3,3	1,1,1	0,833,834	0,0,0	0,0,0	0,0,0	0,0,0	30698.json
5077	5,6,6,6,7,9	5,6,6,6,7,6	5,6,6,6,7,7	0,0,0,0,0,0	0,975,1262,1263,2187,3096	0,6,0,0,2,9	0,11,0,0,3,16	0,71,0,0,97,182	0,0,0,0,0,0	20894.json
1559	4	3	3	1	0	0	0	0	0	10416.json
1452	3	3	3	0	0	0	0	0	0	6428.json
3466	11	11	11	0	0	0	0	0	0	29751.json
5858	4,4,4	3,3,3	4,4,4	0,0,0	0,2043,2044	0,0,0	0,0,0	0,0,0	0,0,0	19772.json
3303	13,13	13,13	11,11	0,0	0,89	0,0	0,0	0,0	0,0	6262.json
2453	4	3	3	0	0	0	0	0	0	14915.json
3213	3	3	3	1	0	0	0	0	0	10921.json
5656	4,4,4	3,3,3	4,4,4	0,0,0	0,1842,1843	0,0,0	0,0,0	0,0,0	0,0,0	20315.json
405	3	3	3	1	0	0	0	0	0	21296.json
5200	51,51,51,51	33,33,33,38	40,40,40,40	0,0,0,0	0,1386,1387,3219	0,0,0,23	0,0,0,46	0,0,0,179	0,0,0,0	18574.json
1458	3	3	3	0	0	0	0	0	0	6348.json
1205	17	13	13	0	0	0	0	0	0	3198.json
6054	1,1,1	3,3,3	1,1,1	0,0,0	0,2239,2240	0,0,0	0,0,0	0,0,0	0,0,0	18357.json
3957	16,16,16,17,17	12,12,12,13,13	12,12,12,13,13	0,0,0,0,0	0,142,143,338,743	0,0,0,1,0	0,0,0,1,0	0,0,0,27,0	0,0,0,0,0	3663.json
6765	14,5,4,4,8,6,6,6	12,3,3,4,5,5,5,5	12,4,3,4,6,5,5,5	0,1,1,0,0,0,0,0	0,45,148,1691,2068,2401,2950,2951	0,3,1,1,5,1,0,0	0,15,3,2,6,4,0,0	0,236,34,18,109,29,0,0	0,0,0,0,0,1,0,0	30527.json
3563	3	3	3	1	0	0	0	0	0	31276.json
6309	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,58,2495,2496	0,0,0,0	0,0,0,0	0,0,0,0	0,1,0,0	18211.json
519	3	3	3	1	0	0	0	0	0	14814.json
7310	4,20,20,20,21	3,15,15,15,18	3,17,17,17,18	0,0,0,0,0	0,1364,3495,3496,5321	0,18,0,0,15	0,20,0,0,29	0,413,0,0,112	0,0,0,0,0	26314.json
1859	6	6	6	0	0	0	0	0	0	33916.json
1974	109,71	98,60	99,61	0,0	0,821	0,2	0,42	0,1939	0,0	9518.json
3524	3,3	3,3	3,3	0,0	0,310	0,0	0,0	0,0	0,0	12222.json
44	43	13	33	0	0	0	0	0	0	415.json
703	1	3	1	1	0	0	0	0	0	4040.json
1859	3	3	3	1	0	0	0	0	0	33867.json
1153	6	6	5	0	0	0	0	0	0	9358.json
1219	3	3	3	0	0	0	0	0	0	22655.json
1282	5,5	5,5	5,5	0,0	0,78	0,0	0,0	0,0	0,0	21243.json
665	27	19	19	0	0	0	0	0	0	7397.json
3799	21,64,64,21,26	13,40,40,13,13	21,42,42,21,26	0,0,0,0,0	0,909,916,922,1550	0,64,1,17,1	0,85,2,77,2	0,1942,11,1959,159	0,0,1,0,0	20873.json
3524	3,3	3,3	3,3	1,1	0,310	0,0	0,0	0,0	0,0	12088.json
1219	3	3	3	1	0	0	0	0	0	36984.json
4079	28,28,28,28	22,22,22,22	26,26,26,26	0,0,0,0	0,265,266,865	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	13560.json
6650	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,1079,2836,2837	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	27469.json
4431	3,3,3	3,3,3	3,3,3	1,1,1	0,617,618	0,0,0	0,0,0	0,0,0	0,0,0	17567.json
1521	137,137,108,108	72,72,73,73	81,81,82,82	0,0,0,0	0,4,7,316	0,1,1,6	0,2,1,12	0,8,981,112	0,0,0,0	3421.json
2259	3	3	3	0	0	0	0	0	0	13428.json
4894	20,20,20,21,21	14,14,14,16,16	15,15,15,16,16	0,0,0,0,0	0,1080,1081,2911,4221	0,0,0,9,0	0,0,0,17,0	0,0,0,47,0	0,0,0,0,0	36112.json
724	135	92	105	0	0	0	0	0	0	11338.json
6142	13,13,13,13	12,12,12,12	11,11,11,11	0,0,0,0	0,2327,2328,2928	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	4374.json
1773	5	5	5	0	0	0	0	0	0	29062.json
665	3	3	3	1	0	0	0	0	0	7188.json
44	3	3	3	1	0	0	0	0	0	431.json
1344	3	3	3	1	0	0	0	0	0	18371.json
4034	3,3,3	3,3,3	3,3,3	0,0,0	0,219,220	0,0,0	0,0,0	0,0,0	0,0,0	20230.json
1989	13,10	9,6	10,7	0,0	0,3	0,3	0,9	0,128	0,0	26987.json
513	3	3	3	1	0	0	0	0	0	6171.json
4626	5,5,5	3,3,3	5,5,5	0,0,0	0,811,812	0,0,0	0,0,0	0,0,0	0,0,0	25769.json
4739	4,4,4	3,3,3	3,3,3	0,0,0	0,924,925	0,0,0	0,0,0	0,0,0	0,0,0	27193.json
7181	3,4,4	3,3,3	3,3,3	1,1,1	0,3366,3367	0,0,0	0,0,0	0,1,0	0,0,0	21358.json
877	3	3	3	0	0	0	0	0	0	3796.json
2678	5	5	5	0	0	0	0	0	0	19826.json
4634	10,10,10,10	5,5,5,6	8,8,8,7	0,0,0,0	0,819,820,2650	0,0,0,6	0,0,0,12	0,0,0,95	0,0,0,0	25053.json
3728	3	3	3	1	0	0	0	0	0	16167.json
7310	81,83,83,71,113,113,113,113,109	43,45,45,45,79,79,79,79,79	68,70,70,54,92,92,92,92,88	0,0,0,0,0,0,0,0,0	0,24,30,336,338,340,3495,3496,5323	0,50,8,1,77,1,0,0,42	0,98,16,2,112,2,0,0,88	0,162,16,267,1483,6,696,0,383	0,0,1,0,0,1,0,0,0	14958.json
1521	3	3	3	0	0	0	0	0	0	3575.json
5795	8,8,8,8	3,3,3,3	8,8,8,8	0,0,0,0	0,223,1980,1981	0,0,0,0	0,0,0,0	0,18,0,0	0,0,0,0	25308.json
513	3	3	3	0	0	0	0	0	0	6239.json
877	4	3	3	0	0	0	0	0	0	4044.json
665	3	2	2	0	0	0	0	0	0	7359.json
1785	5	3	3	0	0	0	0	0	0	7760.json
1686	3	2	2	0	0	0	0	0	0	8264.json
1596	3	3	3	1	0	0	0	0	0	24506.json
6159	12,3,3,3	11,3,3,3	11,3,3,3	0,0,0,0	0,1517,2344,2345	0,1,0,0	0,11,0,0	0,204,0,0	0,0,0,0	16300.json
1974	3	3	3	0	0	0	0	0	0	9512.json
1910	3	3	3	0	0	0	0	0	0	1490.json
1859	6	6	6	0	0	0	0	0	0	35085.json
519	45	36	37	0	0	0	0	0	0	14586.json
5489	3,3,3	3,3,3	3,3,3	1,1,1	0,1674,1675	0,0,0	0,0,0	0,0,0	0,0,0	28350.json
1859	3	3	3	1	0	0	0	0	0	35373.json
1443	9	7	9	0	0	0	0	0	0	6364.json
1429	3	3	3	0	0	0	0	0	0	9233.json
3563	14	9	9	0	0	0	0	0	0	16068.json
665	3	3	3	1	0	0	0	0	0	7064.json
5364	4,4,4,4,11	3,4,4,4,10	3,4,4,4,10	0,0,0,0,0	0,976,1549,1550,2561	0,1,0,0,8	0,2,0,0,9	0,21,0,0,163	0,0,0,0,0	30415.json
6629	22,24,24,24,24	15,18,18,18,18	17,20,20,20,20	0,0,0,0,0	0,728,2815,2816,4647	0,3,0,0,8	0,4,0,0,16	0,64,0,0,49	0,1,0,0,0	24369.json
1651	3	3	3	0	0	0	0	0	0	3018.json
1556	7	6	6	0	0	0	0	0	0	31798.json
665	3	3	3	0	0	0	0	0	0	7264.json
1452	7	6	6	0	0	0	0	0	0	6424.json
3390	24,24	19,19	21,21	0,0	0,176	0,0	0,0	0,0	0,0	11110.json
5220	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,1406,1407,2006	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	12525.json
4025	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,210,211,526	0,0,0,1	0,0,0,2	0,0,0,6	0,0,0,0	23501.json
1859	3	3	3	1	0	0	0	0	0	34894.json
44	4	4	4	0	0	0	0	0	0	1044.json
5581	3,3,3	3,3,3	3,3,3	0,0,0	0,1767,1768	0,0,0	0,0,0	0,0,0	0,0,0	14627.json
6201	30,30,30	28,28,28	27,27,27	0,0,0	0,2386,2387	0,0,0	0,0,0	0,16,0	0,0,0	19595.json
3153	8	8	8	0	0	0	0	0	0	14222.json
5914	33,33,33	26,26,26	26,26,26	0,0,0	0,2100,2101	0,0,0	0,0,0	0,0,0	0,0,0	17902.json
3781	3,3	3,3	3,3	1,1	0,567	0,0	0,0	0,0	0,0	13831.json
1429	6	6	6	0	0	0	0	0	0	9089.json
877	3	3	3	1	0	0	0	0	0	4080.json
1859	3	3	3	1	0	0	0	0	0	35657.json
4891	15,15,15,13	6,6,6,6	12,12,12,9	0,0,0,0	0,1077,1078,2910	0,0,0,7	0,0,0,16	0,0,0,91	0,0,0,0	15553.json
1547	6	3	6	0	0	0	0	0	0	16091.json
2834	20	19	19	0	0	0	0	0	0	12381.json
7310	19,19,26,28,31,31,31,35,47,50	21,21,28,32,34,34,34,37,41,43	16,16,21,23,26,26,26,29,40,43	0,0,0,0,0,0,0,0,0,0	0,7,471,1948,2517,3495,3496,3605,5020,5323	0,6,10,4,4,0,0,5,5,4	0,12,13,6,5,0,0,6,6,6	0,12,240,141,55,0,0,77,159,22	0,0,0,0,1,0,0,0,0,0	29599.json
4811	3,3,3,3,19	3,3,3,3,12	3,3,3,3,12	1,1,1,1,0	0,997,998,1597,4281	0,0,0,0,17	0,0,0,0,18	0,0,0,0,503	0,0,0,0,0	10055.json
3563	3,3	3,3	3,3	1,1	0,349	0,0	0,0	0,0	0,0	284.json
4038	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,223,224,824	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	5979.json
2134	3	3	3	1	0	0	0	0	0	2978.json
1982	4,4,1	3,3,2	3,3,1	1,1,0	0,245,1453	0,0,1	0,0,5	0,0,58	0,0,0	27096.json
3899	3,3,3	3,3,3	3,3,3	1,1,1	0,84,85	0,0,0	0,0,0	0,0,0	0,0,0	25008.json
5575	4,4,4	3,3,3	3,3,3	0,0,0	0,1761,1762	0,0,0	0,0,0	0,0,0	0,0,0	27701.json
2662	3	3	3	1	0	0	0	0	0	26867.json
4811	18,18,18,19,19	11,11,11,12,12	11,11,11,12,12	0,0,0,0,0	0,997,998,1197,1597	0,0,0,1,0	0,0,0,1,0	0,0,0,25,0	0,0,0,0,0	14067.json
2374	39,45,46,46	31,33,33,33	31,33,34,34	0,0,0,0	0,30,1108,1112	0,6,2,1	0,6,4,2	0,139,43,4	0,1,1,0	4512.json
3390	3,3	3,3	3,3	1,1	0,176	0,0	0,0	0,0	0,0	11080.json
2351	3	3	3	1	0	0	0	0	0	26889.json
881	3	3	3	1	0	0	0	0	0	2514.json
425	1	3	1	1	0	0	0	0	0	10881.json
877	3,3	3,3	3,3	1,1	0,172	0,1	0,2	0,5	0,0	4160.json
3799	6,7,7	3,3,3	6,7,7	0,0,0	0,1,1068	0,2,3	0,3,6	0,86,24	0,1,1	19201.json
1219	5	5	5	0	0	0	0	0	0	22400.json
1429	3	3	3	1	0	0	0	0	0	8668.json
