Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
3468	3	4	3	0	0	0	0	0	0	1603.json
423	10	11	10	0	0	0	0	0	0	1975.json
423	3	3	3	1	0	0	0	0	0	1982.json
1138	16,16	17,17	16,16	0,0	0,1121	0,0	0,0	0,0	0,0	355.json
955	1	4	1	0	0	0	0	0	0	47.json
3136	5,5,4	6,6,5	5,5,4	0,0,0	0,11,1133	0,1,1	0,2,3	0,30,43	0,0,0	2714.json
1997	3	3	3	0	0	0	0	0	0	3029.json
2364	3,3	4,4	3,3	0,0	0,5	0,1	0,2	0,20	0,0	1907.json
2705	3	3	3	0	0	0	0	0	0	70.json
2542	3	3	3	0	0	0	0	0	0	564.json
3136	5,5,4	6,6,5	5,5,4	0,0,0	0,11,1133	0,1,1	0,2,3	0,30,40	0,0,0	2630.json
2039	3	3	3	0	0	0	0	0	0	296.json
4024	40,40,40,40,40,46,52,52,58,60,85,79	42,42,42,42,42,50,50,50,56,60,83,81	36,36,36,36,36,41,47,47,53,55,79,73	0,0,0,0,0,0,0,0,0,0,0,0	0,1,4,16,31,120,127,143,147,151,385,2775	0,1,1,1,1,6,7,0,8,11,62,4	0,2,2,2,2,6,8,0,10,20,99,14	0,6,1,78,26,153,243,0,163,436,788,589	0,1,1,0,0,1,0,0,0,0,1,0	753.json
3530	3,3	4,4	3,3	0,0	0,62	0,3	0,6	0,19	0,0	1595.json
690	5,17	6,20	5,17	0,0	0,673	0,16	0,20	0,537	0,0	1701.json
2542	3	3	3	0	0	0	0	0	0	578.json
3876	3,3	4,4	3,3	0,0	0,793	0,1	0,2	0,12	0,0	115.json
2895	29,29	25,25	22,22	0,0	0,1155	0,1	0,2	0,17	0,0	1134.json
171	3	4	3	0	0	0	0	0	0	2044.json
3468	3	3	3	0	0	0	0	0	0	1601.json
544	3,3	3,3	3,3	0,0	0,0	0,1	0,2	0,5	0,0	1385.json
1585	5	7	5	0	0	0	0	0	0	1366.json
1138	21,21	21,21	20,20	0,0	0,1121	0,0	0,0	0,0	0,0	327.json
999	3,3	3,3	3,3	0,0	0,982	0,3	0,6	0,0	0,0	381.json
676	7	7	7	0	0	0	0	0	0	2733.json
3175	11,11,11,11,10	11,11,11,11,10	11,11,11,11,10	0,0,0,0,0	0,42,868,948,2555	0,1,2,2,1	0,2,4,4,3	0,5,31,90,62	0,0,1,0,0	489.json
2013	2	2	2	0	0	0	0	0	0	1524.json
4041	34,32,31,31,34,34,33,33	34,33,33,33,36,36,35,35	34,32,31,31,34,34,33,33	0,0,0,0,0,0,0,0	0,0,121,160,1335,1501,2835,3225	0,4,3,0,4,1,10,1	0,10,7,0,5,2,21,2	0,49,20,0,191,16,192,16	0,1,1,0,1,0,1,1	1785.json
634	3	3	3	0	0	0	0	0	0	131.json
4041	3,13,6,6,6,11,15	3,12,6,6,6,12,12	3,13,5,5,5,10,11	0,0,0,0,0,0,0	0,56,58,160,2359,3689,3690	0,11,4,0,0,6,5	0,12,15,0,0,7,6	0,455,414,2,0,81,212	0,1,1,0,1,1,0	1702.json
323	4	4	4	0	0	0	0	0	0	1238.json
4041	1,1,1	3,3,3	1,1,1	0,0,0	0,121,160	0,1,0	0,2,0	0,56,0	0,1,0	1731.json
4041	5,6,6,6,6,4,4	7,9,9,9,9,5,5	5,6,6,6,6,4,4	0,0,0,0,0,0,0	0,0,121,160,162,712,1150	0,3,3,0,0,1,1	0,5,6,0,0,4,2	0,90,26,0,0,106,10	0,0,1,0,0,1,0	1067.json
2110	14,3,3,6	14,3,3,6	13,3,3,6	0,0,0,0	0,23,190,1420	0,2,1,5	0,15,2,7	0,431,72,83	0,1,0,0	890.json
2087	3,3	3,3	3,3	0,0	0,108	0,0	0,0	0,0	0,1	3105.json
1697	5	5	5	0	0	0	0	0	0	185.json
3872	3,3	4,4	3,3	0,0	0,2570	0,1	0,2	0,6	0,0	798.json
2540	3	4	3	0	0	0	0	0	0	505.json
3485	7	8	7	0	0	0	0	0	0	3182.json
1697	3,6	4,7	3,6	0,0	0,0	0,4	0,5	0,49	0,1	193.json
739	12	15	12	0	0	0	0	0	0	2429.json
2598	4	5	4	0	0	0	0	0	0	935.json
171	3	3	3	0	0	0	0	0	0	2014.json
3878	3	3	3	1	0	0	0	0	0	269.json
3275	8,8,3,3,8	10,10,4,4,10	8,8,3,3,8	0,0,0,0,0	0,384,2032,2286,3258	0,1,3,1,8	0,2,11,2,11	0,3,202,36,234	0,0,0,0,0	1670.json
811	43,43,37,37	41,41,38,38	41,41,35,35	0,0,0,0	0,20,53,450	0,1,5,2	0,2,16,4	0,6,35,26	0,0,0,1	2448.json
2107	7,7,13	10,10,18	7,7,12	0,0,0	0,0,1395	0,0,7	0,0,8	0,0,344	0,0,0	1169.json
3534	8,8	9,9	7,7	0,0	0,352	0,1	0,2	0,6	0,0	682.json
3876	7	7	7	0	0	0	0	0	0	2268.json
2598	4	5	4	0	0	0	0	0	0	943.json
4028	52,54,62,72,72,72,72,70,70,40,41,51,51,53,53,58	42,44,51,61,61,61,61,60,60,35,37,41,41,42,42,47	42,43,51,61,61,61,61,60,60,35,36,40,40,41,41,46	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,5,84,108,147,490,699,701,720,720,772,846,1663,1663,3880	0,2,9,14,9,0,1,5,2,1,1,10,4,2,1,13	0,3,10,18,18,0,2,12,4,32,1,10,8,2,2,21	0,92,188,537,28,0,16,45,60,1428,32,308,32,80,26,245	0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1	2940.json
2402	3	3	3	0	0	0	0	0	0	302.json
4050	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,169,2972,3137	0,0,1,1	0,0,2,2	0,0,15,16	0,0,0,0	1823.json
2921	3,3,3	3,3,3	3,3,3	0,0,0	0,557,2602	0,2,1	0,4,2	0,23,2	0,0,0	2117.json
3175	8,8,8,8	9,9,9,9	8,8,8,8	0,0,0,0	0,42,868,948	0,1,1,1	0,2,2,2	0,4,7,21	0,0,1,0	486.json
3095	4,4	4,4	4,4	0,0	0,553	0,1	0,2	0,5	0,0	1158.json
