Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
1849	10,10,10,10,10,10	9,9,9,9,9,9	9,9,9,9,9,9	0,0,0,0,0,0	0,21,21,21,22,363	0,1,2,1,1,1	0,2,4,2,2,2	0,38,46,7,13,92	0,0,0,1,0,0	176.json
1919	3,3,3	3,3,3	3,3,3	0,0,0	0,97,97	0,1,1	0,2,2	0,6,15	0,0,0	1165.json
1849	3	3	3	0	0	0	0	0	0	119.json
1920	3	3	3	0	0	0	0	0	0	1198.json
1849	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,71,72,363	0,0,0,1	0,0,0,2	0,16,0,11	0,0,0,0	829.json
1849	3	3	3	0	0	0	0	0	0	1135.json
1917	3,3,3	3,3,3	3,3,3	0,0,0	0,1,86	0,0,1	0,0,2	0,0,27	0,0,0	1225.json
1849	11,13	11,11	11,11	0,0	0,332	0,3	0,4	0,7	0,0	99.json
1743	13,14,13,12,12,12,12,12,12,12,12,13,14,14,13,18,18,19	13,14,13,12,12,12,12,12,12,12,12,13,14,14,13,18,18,19	13,14,13,12,12,12,12,12,12,12,12,13,14,14,13,18,18,19	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,80,89,89,89,90,90,90,90,90,92,94,94,105,224,225,717	0,2,0,1,4,1,4,2,1,1,1,2,1,2,1,9,1,3	0,3,1,3,8,2,8,4,2,2,2,3,1,4,3,13,2,5	0,80,55,66,67,32,46,86,13,7,86,123,82,21,70,308,58,91	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	775.json
1849	11,11,11,11,11	9,9,9,9,9	9,9,9,9,9	0,0,0,0,0	0,21,21,22,363	0,1,2,1,1	0,2,4,2,2	0,46,39,13,80	0,0,0,0,0	147.json
1849	12,7,5,5	11,7,5,5	11,7,5,5	0,0,0,0	0,9,26,132	0,0,1,0	0,5,4,0	0,149,80,0	0,0,1,0	493.json
1849	3,3	3,3	3,3	0,0	0,22	0,0	0,0	0,16	0,0	867.json
1849	3	3	3	0	0	0	0	0	0	114.json
1819	6,7,7,7,7,7,7	6,6,6,6,6,6,6	6,7,7,7,7,7,7	0,0,0,0,0,0,0	0,15,22,28,28,332,445	0,2,1,2,1,1,1	0,3,2,4,2,2,2	0,32,41,56,10,21,31	0,0,0,0,0,0,0	1014.json
1583	4,4,4	4,4,4	4,4,4	0,0,0	0,437,441	0,1,1	0,2,2	0,8,6	0,0,0	631.json
1373	9,9,10,6	9,9,9,6	9,9,10,6	0,0,0,0	0,0,57,61	0,0,2,0	0,0,3,4	0,0,50,156	0,0,0,0	773.json
1849	12,12	12,12	12,12	0,0	0,19	0,0	0,0	0,8	0,0	513.json
1823	7,7,7,7	6,6,6,6	6,6,6,6	0,0,0,0	0,0,0,106	0,0,0,0	0,0,0,0	0,0,0,0	0,0,1,0	591.json
1920	3	3	3	0	0	0	0	0	0	1197.json
1849	7	6	7	0	0	0	0	0	0	309.json
1373	3,3	3,3	3,3	0,0	0,7	0,0	0,0	0,0	0,0	1031.json
1849	7,7,7,11,16,16,12,13,13,13,13,11,11,11	7,7,7,10,13,13,9,10,10,10,10,8,8,8	7,7,7,11,13,13,9,10,10,10,10,8,8,8	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,20,29,41,151,151,177,177,178,178,196,196,267,294	0,1,1,4,10,1,4,1,1,1,1,2,1,1	0,2,2,4,15,2,12,1,2,2,2,6,2,2	0,17,12,162,311,10,314,32,32,3,23,90,9,7	0,0,0,0,0,1,0,0,0,0,0,0,0,0	1119.json
1849	3	3	3	0	0	0	0	0	0	993.json
1849	3	3	3	0	0	0	0	0	0	1056.json
1849	3	3	3	0	0	0	0	0	0	547.json
1849	3,3	3,3	3,3	1,1	0,19	0,0	0,0	0,0	0,0	506.json
1849	4	4	4	0	0	0	0	0	0	135.json
1849	3	3	3	0	0	0	0	0	0	670.json
1405	6	6	6	0	0	0	0	0	0	450.json
1828	3	3	3	0	0	0	0	0	0	184.json
1477	3,3	3,3	3,3	0,0	0,11	0,2	0,4	0,46	0,0	790.json
1849	11,11,11,11,11,11	11,11,11,11,11,11	11,11,11,11,11,11	0,0,0,0,0,0	0,71,72,78,317,822	0,0,0,1,1,1	0,0,0,2,2,2	0,108,0,24,8,10	0,0,0,0,0,0	834.json
1849	14,9,9	10,7,7	10,7,7	0,0,0	0,20,317	0,1,1	0,7,2	0,142,8	0,0,0	544.json
1849	3,3	3,3	3,3	0,0	0,884	0,1	0,2	0,7	0,0	169.json
1849	8	7	7	0	0	0	0	0	0	1084.json
1763	3,3	3,3	3,3	1,1	0,47	0,0	0,0	0,0	0,0	600.json
1835	3,3	3,3	3,3	1,1	0,2	0,2	0,4	0,14	0,0	1002.json
1411	3	3	3	0	0	0	0	0	0	742.json
1849	4	4	4	0	0	0	0	0	0	650.json
1671	5,5,5	5,5,5	5,5,5	0,0,0	0,18,18	0,2,1	0,4,2	0,38,15	0,0,0	1126.json
1777	7,7,7,7,7,7	5,5,5,5,5,5	7,7,7,7,7,7	0,0,0,0,0,0	0,0,1,7,123,124	0,1,0,1,1,1	0,2,0,2,2,2	0,14,0,28,15,10	0,0,0,0,0,0	819.json
1373	3,3	3,3	3,3	0,0	0,7	0,0	0,0	0,0	0,0	1028.json
1849	20,20,20,20,20,4,4	15,15,15,15,15,4,4	17,17,17,17,17,4,4	0,0,0,0,0,0,0	0,25,126,127,324,335,336	0,1,1,1,16,2,1	0,2,2,2,32,20,2	0,5,4,6,24,667,10	0,0,0,0,0,0,0	140.json
1849	3	3	3	0	0	0	0	0	0	375.json
1849	4	4	4	0	0	0	0	0	0	640.json
1849	3	3	3	0	0	0	0	0	0	945.json
1849	3,3,3	3,3,3	3,3,3	1,1,1	0,72,435	0,0,1	0,0,2	0,12,19	0,0,0	812.json
1830	13,19,19,19,19,18	13,20,20,20,20,19	13,19,19,19,19,18	0,0,0,0,0,0	0,1,1,7,424,807	0,9,1,1,1,0	0,12,2,2,2,1	0,381,13,460,20,38	0,1,0,0,0,0	616.json
1849	3	3	3	1	0	0	0	0	0	201.json
1909	5	5	5	0	0	0	0	0	0	1143.json
1849	13	12	12	0	0	0	0	0	0	743.json
1849	3	3	3	0	0	0	0	0	0	391.json
1176	14	14	14	0	0	0	0	0	0	396.json
1849	7,7	7,7	7,7	0,0	0,884	0,1	0,2	0,7	0,0	315.json
1849	14,13	13,13	13,13	0,0	0,24	0,12	0,25	0,243	0,0	1100.json
1849	11	7	8	0	0	0	0	0	0	345.json
1849	3,3,3,5,3,6,3,6,6	3,3,3,5,3,5,3,5,5	3,3,3,5,3,5,3,5,5	0,0,0,0,0,0,0,0,0	0,18,56,115,115,116,118,122,151	0,1,1,3,1,3,0,3,1	0,2,2,4,4,3,3,3,2	0,17,16,105,106,110,110,115,10	0,0,0,0,0,1,1,0,0	435.json
1849	4	3	4	0	0	0	0	0	0	290.json
1849	3	3	3	0	0	0	0	0	0	423.json
1216	3	3	3	0	0	0	0	0	0	605.json
1849	14,15,18,14,14,14	11,11,12,12,12,12	12,12,14,12,12,12	0,0,0,0,0,0	0,52,55,58,58,59	0,2,4,3,3,2	0,3,5,6,6,4	0,32,124,89,30,10	0,0,1,1,0,1	686.json
1782	3	3	3	1	0	0	0	0	0	1114.json
1849	3	3	3	0	0	0	0	0	0	401.json
1849	4	4	4	0	0	0	0	0	0	121.json
1849	3,3	3,3	3,3	0,0	0,1115	0,1	0,2	0,47	0,0	417.json
1819	3,3	3,3	3,3	0,0	0,0	0,2	0,4	0,11	0,1	859.json
1812	3	3	3	0	0	0	0	0	0	559.json
1849	14,13,13,13,13,11,11,11,11	12,11,11,11,11,10,10,10,10	12,11,11,11,11,10,10,10,10	0,0,0,0,0,0,0,0,0	0,21,21,21,22,22,22,126,363	0,0,1,2,1,1,0,0,1	0,1,2,4,2,4,0,0,2	0,67,23,39,13,162,0,0,21	0,0,0,0,0,0,0,0,0	154.json
1405	3,3,3,7	3,3,3,7	3,3,3,7	0,0,0,0	0,0,0,0	0,1,0,5	0,2,0,6	0,7,0,101	0,0,0,0	1019.json
1733	6,3,4,4	5,3,3,3	5,3,4,4	0,0,0,1	0,91,91,246	0,1,2,1	0,5,3,2	0,141,36,21	0,0,0,0	350.json
1819	3	3	3	0	0	0	0	0	0	860.json
1755	10,11,14	10,10,13	10,10,13	0,0,0	0,24,214	0,2,3	0,3,3	0,11,42	0,0,0	868.json
1920	27,28,29,19,23	21,21,22,11,13	18,18,19,11,13	0,0,0,0,0	0,1,3,85,400	0,10,7,4,5	0,19,13,18,6	0,68,188,435,76	0,0,0,0,0	1185.json
1849	4	4	4	0	0	0	0	0	0	538.json
1849	11,11,11,11,11,11	10,10,10,10,10,10	10,10,10,10,10,10	0,0,0,0,0,0	0,21,21,21,22,363	0,1,2,1,1,1	0,2,4,2,2,2	0,38,46,7,13,102	0,0,0,1,0,0	159.json
1823	3	3	3	0	0	0	0	0	0	674.json
1697	5	4	5	0	0	0	0	0	0	831.json
1828	3,3,3	3,3,3	3,3,3	1,1,1	0,0,296	0,1,1	0,2,2	0,21,16	0,0,0	182.json
1553	3	3	3	0	0	0	0	0	0	535.json
1716	3	3	3	0	0	0	0	0	0	590.json
1849	13,13,13	13,13,13	13,13,13	0,0,0	0,443,443	0,1,1	0,2,2	0,33,1	0,0,0	303.json
1849	3	3	3	0	0	0	0	0	0	110.json
1511	4,5,5,5,7	4,5,5,5,7	4,5,5,5,7	0,0,0,0,0	0,17,18,19,19	0,1,1,1,3	0,1,2,2,4	0,26,4,1,58	0,0,1,1,1	946.json
1849	3	3	3	0	0	0	0	0	0	107.json
1849	6,6	6,6	6,6	0,0	0,132	0,0	0,0	0,0	0,0	525.json
1509	6	6	6	0	0	0	0	0	0	727.json
1849	10,8,8,8	8,6,6,6	8,6,6,6	0,0,0,0	0,29,317,443	0,1,1,1	0,4,2,2	0,108,8,20	0,0,0,0	1034.json
1849	4,13,6,6	4,7,5,5	4,12,5,5	0,0,0,0	0,333,336,359	0,9,2,1	0,9,11,2	0,559,520,27	0,1,0,0	1079.json
1849	3	3	3	1	0	0	0	0	0	77.json
1849	3	3	3	0	0	0	0	0	0	681.json
1336	4,4	5,5	4,4	0,0	0,372	0,1	0,2	0,7	0,0	607.json
1849	7,7,8	7,7,8	7,7,8	0,0,0	0,205,822	0,0,1	0,0,1	0,0,61	0,0,0	1130.json
1849	11,11,11,11,11,11	10,10,10,10,10,10	10,10,10,10,10,10	0,0,0,0,0,0	0,21,21,21,22,363	0,1,2,1,1,1	0,2,4,2,2,2	0,38,46,7,13,90	0,0,0,1,0,0	161.json
1849	3,4,3,3,3,4	3,4,3,3,3,4	3,4,3,3,3,4	1,0,1,1,1,0	0,117,118,195,196,636	0,1,0,1,1,1	0,1,1,2,2,1	0,43,43,10,10,32	0,0,0,0,0,0	1007.json
1849	3,5,5,5	3,5,5,5	3,5,5,5	0,0,0,0	0,302,408,443	0,3,2,1	0,4,4,2	0,119,32,20	0,0,0,0	556.json
1849	3	3	3	0	0	0	0	0	0	675.json
1813	6	5	5	0	0	0	0	0	0	67.json
1849	25,26,26,26,26,28	21,22,22,22,22,23	21,22,22,22,22,24	0,0,0,0,0,0	0,48,49,59,115,438	0,3,1,2,1,3	0,6,2,4,2,4	0,108,8,13,22,122	0,0,0,0,0,0	336.json
1849	3	3	3	0	0	0	0	0	0	680.json
1849	3	3	3	0	0	0	0	0	0	380.json
1800	3	3	3	0	0	0	0	0	0	238.json
1791	8,8,8	8,8,8	8,8,8	0,0,0	0,1,282	0,5,1	0,10,2	0,50,6	0,0,0	685.json
1849	12,8,8,10,11	12,7,7,9,9	12,7,7,9,9	0,0,0,0,0	0,31,72,170,170	0,5,0,7,4	0,14,0,12,7	0,307,0,40,10	0,0,0,0,0	806.json
1560	3	3	3	0	0	0	0	0	0	473.json
1849	5,6	5,6	5,6	0,0	0,201	0,2	0,3	0,22	0,0	933.json
1849	3	3	3	1	0	0	0	0	0	216.json
1849	4	4	4	0	0	0	0	0	0	51.json
1723	3,3	3,3	3,3	1,1	0,50	0,1	0,2	0,17	0,0	467.json
